name,tg_mode,num_axi_tg,num_axi_bram,axi_write_len_beats,axi_write_size_bytes,axi_write_bandwidth_cfg_MBps,num_write_transactions_cfg,tg_axi_data_width_bits,bram_data_width,noc_axi_clk_mhz
rw_default_97,rw_interleaved,1,1,1,64,300,200,512,512,1000
rw_default_98,rw_interleaved,1,1,2,64,300,200,512,512,1000
rw_default_99,rw_interleaved,1,1,3,64,300,200,512,512,1000
rw_default_100,rw_interleaved,1,1,4,64,300,200,512,512,1000
rw_default_101,rw_interleaved,1,1,5,64,300,200,512,512,1000
rw_default_102,rw_interleaved,1,1,6,64,300,200,512,512,1000
rw_default_103,rw_interleaved,1,1,7,64,300,200,512,512,1000
rw_default_104,rw_interleaved,1,1,8,64,300,200,512,512,1000
rw_default_105,rw_interleaved,1,1,9,64,300,200,512,512,1000
rw_default_106,rw_interleaved,1,1,10,64,300,200,512,512,1000
rw_default_107,rw_interleaved,1,1,11,64,300,200,512,512,1000
rw_default_108,rw_interleaved,1,1,12,64,300,200,512,512,1000
rw_default_109,rw_interleaved,1,1,13,64,300,200,512,512,1000
rw_default_110,rw_interleaved,1,1,14,64,300,200,512,512,1000
rw_default_111,rw_interleaved,1,1,15,64,300,200,512,512,1000
rw_default_112,rw_interleaved,1,1,16,64,300,200,512,512,1000
