name,tg_mode,num_axi_tg,num_axi_bram,axi_write_len_beats,axi_write_size_bytes,axi_write_bandwidth_cfg_MBps,num_write_transactions_cfg,tg_axi_data_width_bits,bram_data_width,noc_axi_clk_mhz
rw_default_tg1_bram1,rw_interleaved,1,1,16,64,300,200,512,512,1000
rw_default_tg1_bram2,rw_interleaved,1,2,16,64,300,200,512,512,1000
rw_default_tg1_bram3,rw_interleaved,1,3,16,64,300,200,512,512,1000
rw_default_tg1_bram4,rw_interleaved,1,4,16,64,300,200,512,512,1000
rw_default_tg1_bram5,rw_interleaved,1,5,16,64,300,200,512,512,1000
rw_default_tg1_bram6,rw_interleaved,1,6,16,64,300,200,512,512,1000
rw_default_tg1_bram7,rw_interleaved,1,7,16,64,300,200,512,512,1000
rw_default_tg1_bram8,rw_interleaved,1,8,16,64,300,200,512,512,1000
rw_default_tg1_bram9,rw_interleaved,1,9,16,64,300,200,512,512,1000
rw_default_tg1_bram10,rw_interleaved,1,10,16,64,300,200,512,512,1000
rw_default_tg1_bram11,rw_interleaved,1,11,16,64,300,200,512,512,1000
rw_default_tg1_bram12,rw_interleaved,1,12,16,64,300,200,512,512,1000
rw_default_tg1_bram13,rw_interleaved,1,13,16,64,300,200,512,512,1000
rw_default_tg1_bram14,rw_interleaved,1,14,16,64,300,200,512,512,1000
rw_default_tg1_bram15,rw_interleaved,1,15,16,64,300,200,512,512,1000
rw_default_tg1_bram16,rw_interleaved,1,16,16,64,300,200,512,512,1000
rw_default_tg2_bram1,rw_interleaved,2,1,16,64,300,200,512,512,1000
rw_default_tg2_bram2,rw_interleaved,2,2,16,64,300,200,512,512,1000
rw_default_tg2_bram3,rw_interleaved,2,3,16,64,300,200,512,512,1000
rw_default_tg2_bram4,rw_interleaved,2,4,16,64,300,200,512,512,1000
rw_default_tg2_bram5,rw_interleaved,2,5,16,64,300,200,512,512,1000
rw_default_tg2_bram6,rw_interleaved,2,6,16,64,300,200,512,512,1000
rw_default_tg2_bram7,rw_interleaved,2,7,16,64,300,200,512,512,1000
rw_default_tg2_bram8,rw_interleaved,2,8,16,64,300,200,512,512,1000
rw_default_tg2_bram9,rw_interleaved,2,9,16,64,300,200,512,512,1000
rw_default_tg2_bram10,rw_interleaved,2,10,16,64,300,200,512,512,1000
rw_default_tg2_bram11,rw_interleaved,2,11,16,64,300,200,512,512,1000
rw_default_tg2_bram12,rw_interleaved,2,12,16,64,300,200,512,512,1000
rw_default_tg2_bram13,rw_interleaved,2,13,16,64,300,200,512,512,1000
rw_default_tg2_bram14,rw_interleaved,2,14,16,64,300,200,512,512,1000
rw_default_tg2_bram15,rw_interleaved,2,15,16,64,300,200,512,512,1000
rw_default_tg2_bram16,rw_interleaved,2,16,16,64,300,200,512,512,1000
rw_default_tg3_bram1,rw_interleaved,3,1,16,64,300,200,512,512,1000
rw_default_tg3_bram2,rw_interleaved,3,2,16,64,300,200,512,512,1000
rw_default_tg3_bram3,rw_interleaved,3,3,16,64,300,200,512,512,1000
rw_default_tg3_bram4,rw_interleaved,3,4,16,64,300,200,512,512,1000
rw_default_tg3_bram5,rw_interleaved,3,5,16,64,300,200,512,512,1000
rw_default_tg3_bram6,rw_interleaved,3,6,16,64,300,200,512,512,1000
rw_default_tg3_bram7,rw_interleaved,3,7,16,64,300,200,512,512,1000
rw_default_tg3_bram8,rw_interleaved,3,8,16,64,300,200,512,512,1000
rw_default_tg3_bram9,rw_interleaved,3,9,16,64,300,200,512,512,1000
rw_default_tg3_bram10,rw_interleaved,3,10,16,64,300,200,512,512,1000
rw_default_tg3_bram11,rw_interleaved,3,11,16,64,300,200,512,512,1000
rw_default_tg3_bram12,rw_interleaved,3,12,16,64,300,200,512,512,1000
rw_default_tg3_bram13,rw_interleaved,3,13,16,64,300,200,512,512,1000
rw_default_tg3_bram14,rw_interleaved,3,14,16,64,300,200,512,512,1000
rw_default_tg3_bram15,rw_interleaved,3,15,16,64,300,200,512,512,1000
rw_default_tg3_bram16,rw_interleaved,3,16,16,64,300,200,512,512,1000
rw_default_tg4_bram1,rw_interleaved,4,1,16,64,300,200,512,512,1000
rw_default_tg4_bram2,rw_interleaved,4,2,16,64,300,200,512,512,1000
rw_default_tg4_bram3,rw_interleaved,4,3,16,64,300,200,512,512,1000
rw_default_tg4_bram4,rw_interleaved,4,4,16,64,300,200,512,512,1000
rw_default_tg4_bram5,rw_interleaved,4,5,16,64,300,200,512,512,1000
rw_default_tg4_bram6,rw_interleaved,4,6,16,64,300,200,512,512,1000
rw_default_tg4_bram7,rw_interleaved,4,7,16,64,300,200,512,512,1000
rw_default_tg4_bram8,rw_interleaved,4,8,16,64,300,200,512,512,1000
rw_default_tg4_bram9,rw_interleaved,4,9,16,64,300,200,512,512,1000
rw_default_tg4_bram10,rw_interleaved,4,10,16,64,300,200,512,512,1000
rw_default_tg4_bram11,rw_interleaved,4,11,16,64,300,200,512,512,1000
rw_default_tg4_bram12,rw_interleaved,4,12,16,64,300,200,512,512,1000
rw_default_tg4_bram13,rw_interleaved,4,13,16,64,300,200,512,512,1000
rw_default_tg4_bram14,rw_interleaved,4,14,16,64,300,200,512,512,1000
rw_default_tg4_bram15,rw_interleaved,4,15,16,64,300,200,512,512,1000
rw_default_tg4_bram16,rw_interleaved,4,16,16,64,300,200,512,512,1000
rw_default_tg5_bram1,rw_interleaved,5,1,16,64,300,200,512,512,1000
rw_default_tg5_bram2,rw_interleaved,5,2,16,64,300,200,512,512,1000
rw_default_tg5_bram3,rw_interleaved,5,3,16,64,300,200,512,512,1000
rw_default_tg5_bram4,rw_interleaved,5,4,16,64,300,200,512,512,1000
rw_default_tg5_bram5,rw_interleaved,5,5,16,64,300,200,512,512,1000
rw_default_tg5_bram6,rw_interleaved,5,6,16,64,300,200,512,512,1000
rw_default_tg5_bram7,rw_interleaved,5,7,16,64,300,200,512,512,1000
rw_default_tg5_bram8,rw_interleaved,5,8,16,64,300,200,512,512,1000
rw_default_tg5_bram9,rw_interleaved,5,9,16,64,300,200,512,512,1000
rw_default_tg5_bram10,rw_interleaved,5,10,16,64,300,200,512,512,1000
rw_default_tg5_bram11,rw_interleaved,5,11,16,64,300,200,512,512,1000
rw_default_tg5_bram12,rw_interleaved,5,12,16,64,300,200,512,512,1000
rw_default_tg5_bram13,rw_interleaved,5,13,16,64,300,200,512,512,1000
rw_default_tg5_bram14,rw_interleaved,5,14,16,64,300,200,512,512,1000
rw_default_tg5_bram15,rw_interleaved,5,15,16,64,300,200,512,512,1000
rw_default_tg5_bram16,rw_interleaved,5,16,16,64,300,200,512,512,1000
rw_default_tg6_bram1,rw_interleaved,6,1,16,64,300,200,512,512,1000
rw_default_tg6_bram2,rw_interleaved,6,2,16,64,300,200,512,512,1000
rw_default_tg6_bram3,rw_interleaved,6,3,16,64,300,200,512,512,1000
rw_default_tg6_bram4,rw_interleaved,6,4,16,64,300,200,512,512,1000
rw_default_tg6_bram5,rw_interleaved,6,5,16,64,300,200,512,512,1000
rw_default_tg6_bram6,rw_interleaved,6,6,16,64,300,200,512,512,1000
rw_default_tg6_bram7,rw_interleaved,6,7,16,64,300,200,512,512,1000
rw_default_tg6_bram8,rw_interleaved,6,8,16,64,300,200,512,512,1000
rw_default_tg6_bram9,rw_interleaved,6,9,16,64,300,200,512,512,1000
rw_default_tg6_bram10,rw_interleaved,6,10,16,64,300,200,512,512,1000
rw_default_tg6_bram11,rw_interleaved,6,11,16,64,300,200,512,512,1000
rw_default_tg6_bram12,rw_interleaved,6,12,16,64,300,200,512,512,1000
rw_default_tg6_bram13,rw_interleaved,6,13,16,64,300,200,512,512,1000
rw_default_tg6_bram14,rw_interleaved,6,14,16,64,300,200,512,512,1000
rw_default_tg6_bram15,rw_interleaved,6,15,16,64,300,200,512,512,1000
rw_default_tg6_bram16,rw_interleaved,6,16,16,64,300,200,512,512,1000
rw_default_tg7_bram1,rw_interleaved,7,1,16,64,300,200,512,512,1000
rw_default_tg7_bram2,rw_interleaved,7,2,16,64,300,200,512,512,1000
rw_default_tg7_bram3,rw_interleaved,7,3,16,64,300,200,512,512,1000
rw_default_tg7_bram4,rw_interleaved,7,4,16,64,300,200,512,512,1000
rw_default_tg7_bram5,rw_interleaved,7,5,16,64,300,200,512,512,1000
rw_default_tg7_bram6,rw_interleaved,7,6,16,64,300,200,512,512,1000
rw_default_tg7_bram7,rw_interleaved,7,7,16,64,300,200,512,512,1000
rw_default_tg7_bram8,rw_interleaved,7,8,16,64,300,200,512,512,1000
rw_default_tg7_bram9,rw_interleaved,7,9,16,64,300,200,512,512,1000
rw_default_tg7_bram10,rw_interleaved,7,10,16,64,300,200,512,512,1000
rw_default_tg7_bram11,rw_interleaved,7,11,16,64,300,200,512,512,1000
rw_default_tg7_bram12,rw_interleaved,7,12,16,64,300,200,512,512,1000
rw_default_tg7_bram13,rw_interleaved,7,13,16,64,300,200,512,512,1000
rw_default_tg7_bram14,rw_interleaved,7,14,16,64,300,200,512,512,1000
rw_default_tg7_bram15,rw_interleaved,7,15,16,64,300,200,512,512,1000
rw_default_tg7_bram16,rw_interleaved,7,16,16,64,300,200,512,512,1000
rw_default_tg8_bram1,rw_interleaved,8,1,16,64,300,200,512,512,1000
rw_default_tg8_bram2,rw_interleaved,8,2,16,64,300,200,512,512,1000
rw_default_tg8_bram3,rw_interleaved,8,3,16,64,300,200,512,512,1000
rw_default_tg8_bram4,rw_interleaved,8,4,16,64,300,200,512,512,1000
rw_default_tg8_bram5,rw_interleaved,8,5,16,64,300,200,512,512,1000
rw_default_tg8_bram6,rw_interleaved,8,6,16,64,300,200,512,512,1000
rw_default_tg8_bram7,rw_interleaved,8,7,16,64,300,200,512,512,1000
rw_default_tg8_bram8,rw_interleaved,8,8,16,64,300,200,512,512,1000
rw_default_tg8_bram9,rw_interleaved,8,9,16,64,300,200,512,512,1000
rw_default_tg8_bram10,rw_interleaved,8,10,16,64,300,200,512,512,1000
rw_default_tg8_bram11,rw_interleaved,8,11,16,64,300,200,512,512,1000
rw_default_tg8_bram12,rw_interleaved,8,12,16,64,300,200,512,512,1000
rw_default_tg8_bram13,rw_interleaved,8,13,16,64,300,200,512,512,1000
rw_default_tg8_bram14,rw_interleaved,8,14,16,64,300,200,512,512,1000
rw_default_tg8_bram15,rw_interleaved,8,15,16,64,300,200,512,512,1000
rw_default_tg8_bram16,rw_interleaved,8,16,16,64,300,200,512,512,1000
rw_default_tg9_bram1,rw_interleaved,9,1,16,64,300,200,512,512,1000
rw_default_tg9_bram2,rw_interleaved,9,2,16,64,300,200,512,512,1000
rw_default_tg9_bram3,rw_interleaved,9,3,16,64,300,200,512,512,1000
rw_default_tg9_bram4,rw_interleaved,9,4,16,64,300,200,512,512,1000
rw_default_tg9_bram5,rw_interleaved,9,5,16,64,300,200,512,512,1000
rw_default_tg9_bram6,rw_interleaved,9,6,16,64,300,200,512,512,1000
rw_default_tg9_bram7,rw_interleaved,9,7,16,64,300,200,512,512,1000
rw_default_tg9_bram8,rw_interleaved,9,8,16,64,300,200,512,512,1000
rw_default_tg9_bram9,rw_interleaved,9,9,16,64,300,200,512,512,1000
rw_default_tg9_bram10,rw_interleaved,9,10,16,64,300,200,512,512,1000
rw_default_tg9_bram11,rw_interleaved,9,11,16,64,300,200,512,512,1000
rw_default_tg9_bram12,rw_interleaved,9,12,16,64,300,200,512,512,1000
rw_default_tg9_bram13,rw_interleaved,9,13,16,64,300,200,512,512,1000
rw_default_tg9_bram14,rw_interleaved,9,14,16,64,300,200,512,512,1000
rw_default_tg9_bram15,rw_interleaved,9,15,16,64,300,200,512,512,1000
rw_default_tg9_bram16,rw_interleaved,9,16,16,64,300,200,512,512,1000
rw_default_tg10_bram1,rw_interleaved,10,1,16,64,300,200,512,512,1000
rw_default_tg10_bram2,rw_interleaved,10,2,16,64,300,200,512,512,1000
rw_default_tg10_bram3,rw_interleaved,10,3,16,64,300,200,512,512,1000
rw_default_tg10_bram4,rw_interleaved,10,4,16,64,300,200,512,512,1000
rw_default_tg10_bram5,rw_interleaved,10,5,16,64,300,200,512,512,1000
rw_default_tg10_bram6,rw_interleaved,10,6,16,64,300,200,512,512,1000
rw_default_tg10_bram7,rw_interleaved,10,7,16,64,300,200,512,512,1000
rw_default_tg10_bram8,rw_interleaved,10,8,16,64,300,200,512,512,1000
rw_default_tg10_bram9,rw_interleaved,10,9,16,64,300,200,512,512,1000
rw_default_tg10_bram10,rw_interleaved,10,10,16,64,300,200,512,512,1000
rw_default_tg10_bram11,rw_interleaved,10,11,16,64,300,200,512,512,1000
rw_default_tg10_bram12,rw_interleaved,10,12,16,64,300,200,512,512,1000
rw_default_tg10_bram13,rw_interleaved,10,13,16,64,300,200,512,512,1000
rw_default_tg10_bram14,rw_interleaved,10,14,16,64,300,200,512,512,1000
rw_default_tg10_bram15,rw_interleaved,10,15,16,64,300,200,512,512,1000
rw_default_tg10_bram16,rw_interleaved,10,16,16,64,300,200,512,512,1000
rw_default_tg11_bram1,rw_interleaved,11,1,16,64,300,200,512,512,1000
rw_default_tg11_bram2,rw_interleaved,11,2,16,64,300,200,512,512,1000
rw_default_tg11_bram3,rw_interleaved,11,3,16,64,300,200,512,512,1000
rw_default_tg11_bram4,rw_interleaved,11,4,16,64,300,200,512,512,1000
rw_default_tg11_bram5,rw_interleaved,11,5,16,64,300,200,512,512,1000
rw_default_tg11_bram6,rw_interleaved,11,6,16,64,300,200,512,512,1000
rw_default_tg11_bram7,rw_interleaved,11,7,16,64,300,200,512,512,1000
rw_default_tg11_bram8,rw_interleaved,11,8,16,64,300,200,512,512,1000
rw_default_tg11_bram9,rw_interleaved,11,9,16,64,300,200,512,512,1000
rw_default_tg11_bram10,rw_interleaved,11,10,16,64,300,200,512,512,1000
rw_default_tg11_bram11,rw_interleaved,11,11,16,64,300,200,512,512,1000
rw_default_tg11_bram12,rw_interleaved,11,12,16,64,300,200,512,512,1000
rw_default_tg11_bram13,rw_interleaved,11,13,16,64,300,200,512,512,1000
rw_default_tg11_bram14,rw_interleaved,11,14,16,64,300,200,512,512,1000
rw_default_tg11_bram15,rw_interleaved,11,15,16,64,300,200,512,512,1000
rw_default_tg11_bram16,rw_interleaved,11,16,16,64,300,200,512,512,1000
rw_default_tg12_bram1,rw_interleaved,12,1,16,64,300,200,512,512,1000
rw_default_tg12_bram2,rw_interleaved,12,2,16,64,300,200,512,512,1000
rw_default_tg12_bram3,rw_interleaved,12,3,16,64,300,200,512,512,1000
rw_default_tg12_bram4,rw_interleaved,12,4,16,64,300,200,512,512,1000
rw_default_tg12_bram5,rw_interleaved,12,5,16,64,300,200,512,512,1000
rw_default_tg12_bram6,rw_interleaved,12,6,16,64,300,200,512,512,1000
rw_default_tg12_bram7,rw_interleaved,12,7,16,64,300,200,512,512,1000
rw_default_tg12_bram8,rw_interleaved,12,8,16,64,300,200,512,512,1000
rw_default_tg12_bram9,rw_interleaved,12,9,16,64,300,200,512,512,1000
rw_default_tg12_bram10,rw_interleaved,12,10,16,64,300,200,512,512,1000
rw_default_tg12_bram11,rw_interleaved,12,11,16,64,300,200,512,512,1000
rw_default_tg12_bram12,rw_interleaved,12,12,16,64,300,200,512,512,1000
rw_default_tg12_bram13,rw_interleaved,12,13,16,64,300,200,512,512,1000
rw_default_tg12_bram14,rw_interleaved,12,14,16,64,300,200,512,512,1000
rw_default_tg12_bram15,rw_interleaved,12,15,16,64,300,200,512,512,1000
rw_default_tg12_bram16,rw_interleaved,12,16,16,64,300,200,512,512,1000
rw_default_tg13_bram1,rw_interleaved,13,1,16,64,300,200,512,512,1000
rw_default_tg13_bram2,rw_interleaved,13,2,16,64,300,200,512,512,1000
rw_default_tg13_bram3,rw_interleaved,13,3,16,64,300,200,512,512,1000
rw_default_tg13_bram4,rw_interleaved,13,4,16,64,300,200,512,512,1000
rw_default_tg13_bram5,rw_interleaved,13,5,16,64,300,200,512,512,1000
rw_default_tg13_bram6,rw_interleaved,13,6,16,64,300,200,512,512,1000
rw_default_tg13_bram7,rw_interleaved,13,7,16,64,300,200,512,512,1000
rw_default_tg13_bram8,rw_interleaved,13,8,16,64,300,200,512,512,1000
rw_default_tg13_bram9,rw_interleaved,13,9,16,64,300,200,512,512,1000
rw_default_tg13_bram10,rw_interleaved,13,10,16,64,300,200,512,512,1000
rw_default_tg13_bram11,rw_interleaved,13,11,16,64,300,200,512,512,1000
rw_default_tg13_bram12,rw_interleaved,13,12,16,64,300,200,512,512,1000
rw_default_tg13_bram13,rw_interleaved,13,13,16,64,300,200,512,512,1000
rw_default_tg13_bram14,rw_interleaved,13,14,16,64,300,200,512,512,1000
rw_default_tg13_bram15,rw_interleaved,13,15,16,64,300,200,512,512,1000
rw_default_tg13_bram16,rw_interleaved,13,16,16,64,300,200,512,512,1000
rw_default_tg14_bram1,rw_interleaved,14,1,16,64,300,200,512,512,1000
rw_default_tg14_bram2,rw_interleaved,14,2,16,64,300,200,512,512,1000
rw_default_tg14_bram3,rw_interleaved,14,3,16,64,300,200,512,512,1000
rw_default_tg14_bram4,rw_interleaved,14,4,16,64,300,200,512,512,1000
rw_default_tg14_bram5,rw_interleaved,14,5,16,64,300,200,512,512,1000
rw_default_tg14_bram6,rw_interleaved,14,6,16,64,300,200,512,512,1000
rw_default_tg14_bram7,rw_interleaved,14,7,16,64,300,200,512,512,1000
rw_default_tg14_bram8,rw_interleaved,14,8,16,64,300,200,512,512,1000
rw_default_tg14_bram9,rw_interleaved,14,9,16,64,300,200,512,512,1000
rw_default_tg14_bram10,rw_interleaved,14,10,16,64,300,200,512,512,1000
rw_default_tg14_bram11,rw_interleaved,14,11,16,64,300,200,512,512,1000
rw_default_tg14_bram12,rw_interleaved,14,12,16,64,300,200,512,512,1000
rw_default_tg14_bram13,rw_interleaved,14,13,16,64,300,200,512,512,1000
rw_default_tg14_bram14,rw_interleaved,14,14,16,64,300,200,512,512,1000
rw_default_tg14_bram15,rw_interleaved,14,15,16,64,300,200,512,512,1000
rw_default_tg14_bram16,rw_interleaved,14,16,16,64,300,200,512,512,1000
rw_default_tg15_bram1,rw_interleaved,15,1,16,64,300,200,512,512,1000
rw_default_tg15_bram2,rw_interleaved,15,2,16,64,300,200,512,512,1000
rw_default_tg15_bram3,rw_interleaved,15,3,16,64,300,200,512,512,1000
rw_default_tg15_bram4,rw_interleaved,15,4,16,64,300,200,512,512,1000
rw_default_tg15_bram5,rw_interleaved,15,5,16,64,300,200,512,512,1000
rw_default_tg15_bram6,rw_interleaved,15,6,16,64,300,200,512,512,1000
rw_default_tg15_bram7,rw_interleaved,15,7,16,64,300,200,512,512,1000
rw_default_tg15_bram8,rw_interleaved,15,8,16,64,300,200,512,512,1000
rw_default_tg15_bram9,rw_interleaved,15,9,16,64,300,200,512,512,1000
rw_default_tg15_bram10,rw_interleaved,15,10,16,64,300,200,512,512,1000
rw_default_tg15_bram11,rw_interleaved,15,11,16,64,300,200,512,512,1000
rw_default_tg15_bram12,rw_interleaved,15,12,16,64,300,200,512,512,1000
rw_default_tg15_bram13,rw_interleaved,15,13,16,64,300,200,512,512,1000
rw_default_tg15_bram14,rw_interleaved,15,14,16,64,300,200,512,512,1000
rw_default_tg15_bram15,rw_interleaved,15,15,16,64,300,200,512,512,1000
rw_default_tg15_bram16,rw_interleaved,15,16,16,64,300,200,512,512,1000
rw_default_tg16_bram1,rw_interleaved,16,1,16,64,300,200,512,512,1000
rw_default_tg16_bram2,rw_interleaved,16,2,16,64,300,200,512,512,1000
rw_default_tg16_bram3,rw_interleaved,16,3,16,64,300,200,512,512,1000
rw_default_tg16_bram4,rw_interleaved,16,4,16,64,300,200,512,512,1000
rw_default_tg16_bram5,rw_interleaved,16,5,16,64,300,200,512,512,1000
