name,tg_mode,num_axi_tg,num_axi_bram,axi_write_len_beats,axi_write_size_bytes,axi_write_bandwidth_cfg_MBps,num_write_transactions_cfg,tg_axi_data_width_bits,bram_data_width,noc_axi_clk_mhz
rw_default_18,rw_interleaved,1,1,2,2,300,200,512,512,1000
rw_default_19,rw_interleaved,1,1,3,2,300,200,512,512,1000
rw_default_20,rw_interleaved,1,1,4,2,300,200,512,512,1000
rw_default_21,rw_interleaved,1,1,5,2,300,200,512,512,1000
rw_default_22,rw_interleaved,1,1,6,2,300,200,512,512,1000
rw_default_23,rw_interleaved,1,1,7,2,300,200,512,512,1000
rw_default_24,rw_interleaved,1,1,8,2,300,200,512,512,1000
rw_default_25,rw_interleaved,1,1,9,2,300,200,512,512,1000
rw_default_26,rw_interleaved,1,1,10,2,300,200,512,512,1000
rw_default_27,rw_interleaved,1,1,11,2,300,200,512,512,1000
rw_default_28,rw_interleaved,1,1,12,2,300,200,512,512,1000
rw_default_29,rw_interleaved,1,1,13,2,300,200,512,512,1000
rw_default_30,rw_interleaved,1,1,14,2,300,200,512,512,1000
rw_default_31,rw_interleaved,1,1,15,2,300,200,512,512,1000
rw_default_32,rw_interleaved,1,1,16,2,300,200,512,512,1000
rw_default_34,rw_interleaved,1,1,2,4,300,200,512,512,1000
rw_default_35,rw_interleaved,1,1,3,4,300,200,512,512,1000
rw_default_36,rw_interleaved,1,1,4,4,300,200,512,512,1000
rw_default_37,rw_interleaved,1,1,5,4,300,200,512,512,1000
rw_default_38,rw_interleaved,1,1,6,4,300,200,512,512,1000
rw_default_39,rw_interleaved,1,1,7,4,300,200,512,512,1000
rw_default_40,rw_interleaved,1,1,8,4,300,200,512,512,1000
rw_default_41,rw_interleaved,1,1,9,4,300,200,512,512,1000
rw_default_42,rw_interleaved,1,1,10,4,300,200,512,512,1000
rw_default_43,rw_interleaved,1,1,11,4,300,200,512,512,1000
rw_default_44,rw_interleaved,1,1,12,4,300,200,512,512,1000
rw_default_45,rw_interleaved,1,1,13,4,300,200,512,512,1000
rw_default_46,rw_interleaved,1,1,14,4,300,200,512,512,1000
rw_default_47,rw_interleaved,1,1,15,4,300,200,512,512,1000
rw_default_48,rw_interleaved,1,1,16,4,300,200,512,512,1000
rw_default_50,rw_interleaved,1,1,2,8,300,200,512,512,1000
rw_default_51,rw_interleaved,1,1,3,8,300,200,512,512,1000
rw_default_52,rw_interleaved,1,1,4,8,300,200,512,512,1000
rw_default_53,rw_interleaved,1,1,5,8,300,200,512,512,1000
rw_default_54,rw_interleaved,1,1,6,8,300,200,512,512,1000
rw_default_55,rw_interleaved,1,1,7,8,300,200,512,512,1000
rw_default_56,rw_interleaved,1,1,8,8,300,200,512,512,1000
rw_default_57,rw_interleaved,1,1,9,8,300,200,512,512,1000
rw_default_58,rw_interleaved,1,1,10,8,300,200,512,512,1000
rw_default_59,rw_interleaved,1,1,11,8,300,200,512,512,1000
rw_default_60,rw_interleaved,1,1,12,8,300,200,512,512,1000
rw_default_61,rw_interleaved,1,1,13,8,300,200,512,512,1000
rw_default_62,rw_interleaved,1,1,14,8,300,200,512,512,1000
rw_default_63,rw_interleaved,1,1,15,8,300,200,512,512,1000
rw_default_64,rw_interleaved,1,1,16,8,300,200,512,512,1000
rw_default_66,rw_interleaved,1,1,2,16,300,200,512,512,1000
rw_default_67,rw_interleaved,1,1,3,16,300,200,512,512,1000
rw_default_68,rw_interleaved,1,1,4,16,300,200,512,512,1000
rw_default_69,rw_interleaved,1,1,5,16,300,200,512,512,1000
rw_default_70,rw_interleaved,1,1,6,16,300,200,512,512,1000
rw_default_71,rw_interleaved,1,1,7,16,300,200,512,512,1000
rw_default_72,rw_interleaved,1,1,8,16,300,200,512,512,1000
rw_default_73,rw_interleaved,1,1,9,16,300,200,512,512,1000
rw_default_74,rw_interleaved,1,1,10,16,300,200,512,512,1000
rw_default_75,rw_interleaved,1,1,11,16,300,200,512,512,1000
rw_default_76,rw_interleaved,1,1,12,16,300,200,512,512,1000
rw_default_77,rw_interleaved,1,1,13,16,300,200,512,512,1000
rw_default_78,rw_interleaved,1,1,14,16,300,200,512,512,1000
rw_default_79,rw_interleaved,1,1,15,16,300,200,512,512,1000
rw_default_80,rw_interleaved,1,1,16,16,300,200,512,512,1000
rw_default_82,rw_interleaved,1,1,2,32,300,200,512,512,1000
rw_default_83,rw_interleaved,1,1,3,32,300,200,512,512,1000
rw_default_84,rw_interleaved,1,1,4,32,300,200,512,512,1000
rw_default_85,rw_interleaved,1,1,5,32,300,200,512,512,1000
