name,config,sim_time_s,num_write_trans_cfg,num_sources,num_dests,total_packets
pos_2hop_64pkt_rtl,pos,94,64,1,1,64
pos_2hop_256pkt_rtl,pos,188,256,1,1,256
pos_2hop_1024pkt_rtl,pos,566,1024,1,1,1024
pos_2hop_2048pkt_rtl,pos,1061,2048,1,1,2048
pos_8hop_64pkt_rtl,pos,122,64,1,1,64
pos_8hop_256pkt_rtl,pos,251,256,1,1,256
pos_8hop_1024pkt_rtl,pos,763,1024,1,1,1024
pos_8hop_2048pkt_rtl,pos,1439,2048,1,1,2048
pos_16hop_64pkt_rtl,pos,146,64,1,1,64
pos_16hop_256pkt_rtl,pos,309,256,1,1,256
pos_16hop_1024pkt_rtl,pos,967,1024,1,1,1024
pos_16hop_2048pkt_rtl,pos,1841,2048,1,1,2048
pos_32hop_64pkt_rtl,pos,211,64,1,1,64
pos_32hop_256pkt_rtl,pos,446,256,1,1,256
pos_32hop_1024pkt_rtl,pos,1422,1024,1,1,1024
pos_32hop_2048pkt_rtl,pos,2755,2048,1,1,2048
pos_2hop_64pkt_tlm,pos,136,64,1,1,64
pos_2hop_256pkt_tlm,pos,208,256,1,1,256
pos_2hop_1024pkt_tlm,pos,523,1024,1,1,1024
pos_2hop_2048pkt_tlm,pos,971,2048,1,1,2048
pos_8hop_64pkt_tlm,pos,131,64,1,1,64
pos_8hop_256pkt_tlm,pos,208,256,1,1,256
pos_8hop_1024pkt_tlm,pos,545,1024,1,1,1024
pos_8hop_2048pkt_tlm,pos,992,2048,1,1,2048
pos_16hop_64pkt_tlm,pos,132,64,1,1,64
pos_16hop_256pkt_tlm,pos,209,256,1,1,256
pos_16hop_1024pkt_tlm,pos,556,1024,1,1,1024
pos_16hop_2048pkt_tlm,pos,1019,2048,1,1,2048
pos_32hop_64pkt_tlm,pos,131,64,1,1,64
pos_32hop_256pkt_tlm,pos,216,256,1,1,256
pos_32hop_1024pkt_tlm,pos,568,1024,1,1,1024
pos_32hop_2048pkt_tlm,pos,1042,2048,1,1,2048
ddr_2hop_64pkt_rtl,ddr,97,64,1,1,64
ddr_2hop_256pkt_rtl,ddr,192,256,1,1,256
ddr_2hop_1024pkt_rtl,ddr,554,1024,1,1,1024
ddr_2hop_2048pkt_rtl,ddr,1055,2048,1,1,2048
ddr_8hop_64pkt_rtl,ddr,103,64,1,1,64
ddr_8hop_256pkt_rtl,ddr,207,256,1,1,256
ddr_8hop_1024pkt_rtl,ddr,614,1024,1,1,1024
ddr_8hop_2048pkt_rtl,ddr,1186,2048,1,1,2048
ddr_16hop_64pkt_rtl,ddr,124,64,1,1,64
ddr_16hop_256pkt_rtl,ddr,246,256,1,1,256
ddr_16hop_1024pkt_rtl,ddr,736,1024,1,1,1024
ddr_16hop_2048pkt_rtl,ddr,1407,2048,1,1,2048
ddr_32hop_64pkt_rtl,ddr,150,64,1,1,64
ddr_32hop_256pkt_rtl,ddr,319,256,1,1,256
ddr_32hop_1024pkt_rtl,ddr,995,1024,1,1,1024
ddr_32hop_2048pkt_rtl,ddr,1897,2048,1,1,2048
ddr_2hop_64pkt_tlm,ddr,110,64,1,1,64
ddr_2hop_256pkt_tlm,ddr,135,256,1,1,256
ddr_2hop_1024pkt_tlm,ddr,238,1024,1,1,1024
ddr_2hop_2048pkt_tlm,ddr,373,2048,1,1,2048
ddr_8hop_64pkt_tlm,ddr,108,64,1,1,64
ddr_8hop_256pkt_tlm,ddr,138,256,1,1,256
ddr_8hop_1024pkt_tlm,ddr,241,1024,1,1,1024
ddr_8hop_2048pkt_tlm,ddr,393,2048,1,1,2048
ddr_16hop_64pkt_tlm,ddr,110,64,1,1,64
ddr_16hop_256pkt_tlm,ddr,139,256,1,1,256
ddr_16hop_1024pkt_tlm,ddr,258,1024,1,1,1024
ddr_16hop_2048pkt_tlm,ddr,425,2048,1,1,2048
ddr_32hop_64pkt_tlm,ddr,112,64,1,1,64
ddr_32hop_256pkt_tlm,ddr,140,256,1,1,256
ddr_32hop_1024pkt_tlm,ddr,272,1024,1,1,1024
