name,config,sim_time_s,num_write_trans_cfg,num_sources,num_dests,total_packets
pos_2hop_64pkt_rtl,pos,94,64,1,1,64
pos_2hop_1024pkt_rtl,pos,566,1024,1,1,1024
pos_2hop_2048pkt_rtl,pos,1061,2048,1,1,2048
pos_16hop_64pkt_rtl,pos,146,64,1,1,64
pos_16hop_1024pkt_rtl,pos,967,1024,1,1,1024
pos_16hop_2048pkt_rtl,pos,1841,2048,1,1,2048
pos_32hop_64pkt_rtl,pos,211,64,1,1,64
pos_32hop_1024pkt_rtl,pos,1422,1024,1,1,1024
pos_32hop_2048pkt_rtl,pos,2755,2048,1,1,2048
pos_2hop_64pkt_tlm,pos,136,64,1,1,64
pos_2hop_1024pkt_tlm,pos,523,1024,1,1,1024
pos_2hop_2048pkt_tlm,pos,971,2048,1,1,2048
pos_16hop_64pkt_tlm,pos,132,64,1,1,64
pos_16hop_1024pkt_tlm,pos,556,1024,1,1,1024
pos_16hop_2048pkt_tlm,pos,1019,2048,1,1,2048
pos_32hop_64pkt_tlm,pos,131,64,1,1,64
pos_32hop_1024pkt_tlm,pos,568,1024,1,1,1024
pos_32hop_2048pkt_tlm,pos,1042,2048,1,1,2048
pos_2hop_64pkt_gem5,pos,0.53,64,1,1,64
pos_2hop_1024pkt_gem5,pos,1.45,1024,1,1,1024
pos_2hop_2048pkt_gem5,pos,2.4,2048,1,1,2048
pos_16hop_64pkt_gem5,pos,1.28,64,1,1,64
pos_16hop_1024pkt_gem5,pos,3.03,1024,1,1,1024
pos_16hop_2048pkt_gem5,pos,4.84,2048,1,1,2048
pos_32hop_64pkt_gem5,pos,2.47,64,1,1,64
pos_32hop_1024pkt_gem5,pos,6.19,1024,1,1,1024
pos_32hop_2048pkt_gem5,pos,10.01,2048,1,1,2048
