name,config,sim_time_s,num_write_trans_cfg,num_sources,num_dests,total_packets
pos_2hop_64pkt_rtl,pos,76,64,1,1,64
pos_2hop_256pkt_rtl,pos,120,256,1,1,256
pos_2hop_1024pkt_rtl,pos,287,1024,1,1,1024
pos_2hop_2048pkt_rtl,pos,514,2048,1,1,2048
pos_8hop_64pkt_rtl,pos,96,64,1,1,64
pos_8hop_256pkt_rtl,pos,169,256,1,1,256
pos_8hop_1024pkt_rtl,pos,486,1024,1,1,1024
pos_8hop_2048pkt_rtl,pos,888,2048,1,1,2048
pos_16hop_64pkt_rtl,pos,114,64,1,1,64
pos_16hop_256pkt_rtl,pos,234,256,1,1,256
pos_16hop_1024pkt_rtl,pos,684,1024,1,1,1024
pos_16hop_2048pkt_rtl,pos,1302,2048,1,1,2048
pos_32hop_64pkt_rtl,pos,159,64,1,1,64
pos_32hop_256pkt_rtl,pos,365,256,1,1,256
pos_32hop_1024pkt_rtl,pos,1206,1024,1,1,1024
pos_32hop_2048pkt_rtl,pos,2320,2048,1,1,2048
pos_2hop_64pkt_tlm,pos,102,64,1,1,64
pos_2hop_256pkt_tlm,pos,119,256,1,1,256
pos_2hop_1024pkt_tlm,pos,192,1024,1,1,1024
pos_2hop_2048pkt_tlm,pos,285,2048,1,1,2048
pos_8hop_64pkt_tlm,pos,103,64,1,1,64
pos_8hop_256pkt_tlm,pos,120,256,1,1,256
pos_8hop_1024pkt_tlm,pos,191,1024,1,1,1024
pos_8hop_2048pkt_tlm,pos,290,2048,1,1,2048
pos_16hop_64pkt_tlm,pos,102,64,1,1,64
pos_16hop_256pkt_tlm,pos,121,256,1,1,256
pos_16hop_1024pkt_tlm,pos,195,1024,1,1,1024
pos_16hop_2048pkt_tlm,pos,293,2048,1,1,2048
pos_32hop_64pkt_tlm,pos,102,64,1,1,64
pos_32hop_256pkt_tlm,pos,121,256,1,1,256
pos_32hop_1024pkt_tlm,pos,200,1024,1,1,1024
pos_32hop_2048pkt_tlm,pos,302,2048,1,1,2048
pos_2hop_64pkt_gem5,pos,0.483,64,1,1,64
pos_2hop_256pkt_gem5,pos,0.570,256,1,1,256
pos_2hop_1024pkt_gem5,pos,0.935,1024,1,1,1024
pos_2hop_2048pkt_gem5,pos,1.411,2048,1,1,2048
pos_8hop_64pkt_gem5,pos,0.630,64,1,1,64
pos_8hop_256pkt_gem5,pos,0.801,256,1,1,256
pos_8hop_1024pkt_gem5,pos,1.435,1024,1,1,1024
pos_8hop_2048pkt_gem5,pos,2.135,2048,1,1,2048
pos_16hop_64pkt_gem5,pos,0.728,64,1,1,64
pos_16hop_256pkt_gem5,pos,1.057,256,1,1,256
pos_16hop_1024pkt_gem5,pos,1.822,1024,1,1,1024
pos_16hop_2048pkt_gem5,pos,2.915,2048,1,1,2048
pos_32hop_64pkt_gem5,pos,1.153,64,1,1,64
pos_32hop_256pkt_gem5,pos,1.739,256,1,1,256
pos_32hop_1024pkt_gem5,pos,4.106,1024,1,1,1024
pos_32hop_2048pkt_gem5,pos,7.787,2048,1,1,2048
