finished_at_iso,name,sim_time_s,src_id,tg_mode,num_aximm_tg,num_aximm_bram,num_axis_tg,num_axis_end,num_write_transactions_cfg,axi_write_size_bytes,axi_write_len_beats,axi_write_bandwidth_cfg_MBps,gem5_min_write_lat_cycles,gem5_avg_write_lat_cycles,gem5_max_write_lat_cycles,gem5_achieved_write_bw_MBps,gem5_min_read_lat_cycles,gem5_avg_read_lat_cycles,gem5_max_read_lat_cycles,gem5_achieved_read_bw_MBps,noc_axi_clk_mhz,gem5_return_code
2026-04-03T10:29:57.679497-05:00,rw_2_2_1,0.82,0,rw_interleaved,1,1,0,0,1,2,2,300,29.0,29.0,29.0,206.896552,29.0,29.0,29.0,206.896552,1000,0
2026-04-03T10:29:58.284134-05:00,rw_2_2_2,0.6,0,rw_interleaved,1,1,0,0,2,2,2,300,29.0,29.0,29.0,200.0,29.0,29.0,29.0,200.0,1000,0
2026-04-03T10:29:58.961529-05:00,rw_2_2_3,0.68,0,rw_interleaved,1,1,0,0,3,2,2,300,29.0,29.0,29.0,197.802198,29.0,29.0,29.0,197.802198,1000,0
2026-04-03T10:29:59.636149-05:00,rw_2_2_4,0.67,0,rw_interleaved,1,1,0,0,4,2,2,300,29.0,29.0,29.0,196.721311,29.0,29.0,29.0,196.721311,1000,0
2026-04-03T10:30:00.266218-05:00,rw_2_2_5,0.63,0,rw_interleaved,1,1,0,0,5,2,2,300,29.0,29.0,29.0,196.078431,29.0,29.0,29.0,196.078431,1000,0
2026-04-03T10:30:00.963026-05:00,rw_2_2_6,0.7,0,rw_interleaved,1,1,0,0,6,2,2,300,29.0,29.0,29.0,195.652174,29.0,29.0,29.0,195.652174,1000,0
2026-04-03T10:30:01.574314-05:00,rw_2_2_7,0.61,0,rw_interleaved,1,1,0,0,7,2,2,300,29.0,29.0,29.0,195.348837,29.0,29.0,29.0,195.348837,1000,0
2026-04-03T10:30:02.243027-05:00,rw_2_2_8,0.67,0,rw_interleaved,1,1,0,0,8,2,2,300,29.0,29.0,29.0,195.121951,29.0,29.0,29.0,195.121951,1000,0
2026-04-03T10:30:02.916069-05:00,rw_2_2_9,0.67,0,rw_interleaved,1,1,0,0,9,2,2,300,29.0,29.0,29.0,194.945848,29.0,29.0,29.0,194.945848,1000,0
2026-04-03T10:30:03.572695-05:00,rw_2_2_10,0.65,0,rw_interleaved,1,1,0,0,10,2,2,300,29.0,29.0,29.0,194.805195,29.0,29.0,29.0,194.805195,1000,0
2026-04-03T10:30:04.319617-05:00,rw_2_2_50,0.74,0,rw_interleaved,1,1,0,0,50,2,2,300,29.0,29.0,29.0,193.79845,29.0,29.06,30.0,193.79845,1000,0
2026-04-03T10:30:05.138320-05:00,rw_2_2_200,0.82,0,rw_interleaved,1,1,0,0,200,2,2,300,29.0,29.0,29.0,193.610842,29.0,29.06,30.0,193.610842,1000,0
2026-04-03T10:30:05.798564-05:00,rw_3_2_1,0.66,0,rw_interleaved,1,1,0,0,1,2,3,300,29.0,29.0,29.0,275.862069,30.0,30.0,30.0,266.666667,1000,0
2026-04-03T10:30:06.453250-05:00,rw_3_2_2,0.65,0,rw_interleaved,1,1,0,0,2,2,3,300,29.0,29.0,29.0,266.666667,30.0,30.0,30.0,262.295082,1000,0
2026-04-03T10:30:07.201208-05:00,rw_3_2_3,0.75,0,rw_interleaved,1,1,0,0,3,2,3,300,29.0,29.0,29.0,263.736264,30.0,30.0,30.0,260.869565,1000,0
2026-04-03T10:30:07.782990-05:00,rw_3_2_4,0.58,0,rw_interleaved,1,1,0,0,4,2,3,300,29.0,29.0,29.0,262.295082,30.0,30.0,30.0,260.162602,1000,0
2026-04-03T10:30:08.450065-05:00,rw_3_2_5,0.67,0,rw_interleaved,1,1,0,0,5,2,3,300,29.0,29.0,29.0,261.437908,30.0,30.0,30.0,259.74026,1000,0
2026-04-03T10:30:09.088784-05:00,rw_3_2_6,0.64,0,rw_interleaved,1,1,0,0,6,2,3,300,29.0,29.0,29.0,260.869565,30.0,30.0,30.0,259.459459,1000,0
2026-04-03T10:30:09.756625-05:00,rw_3_2_7,0.67,0,rw_interleaved,1,1,0,0,7,2,3,300,29.0,29.0,29.0,260.465116,30.0,30.0,30.0,259.259259,1000,0
2026-04-03T10:30:10.452686-05:00,rw_3_2_8,0.69,0,rw_interleaved,1,1,0,0,8,2,3,300,29.0,29.0,29.0,260.162602,30.0,30.0,30.0,259.109312,1000,0
2026-04-03T10:30:11.063016-05:00,rw_3_2_9,0.61,0,rw_interleaved,1,1,0,0,9,2,3,300,29.0,29.0,29.0,259.927798,30.0,30.0,30.0,258.992806,1000,0
2026-04-03T10:30:11.684368-05:00,rw_3_2_10,0.62,0,rw_interleaved,1,1,0,0,10,2,3,300,29.0,29.0,29.0,259.74026,30.0,30.0,30.0,258.899676,1000,0
2026-04-03T10:30:12.399695-05:00,rw_3_2_50,0.71,0,rw_interleaved,1,1,0,0,50,2,3,300,29.0,29.0,29.0,258.397933,30.0,30.06,31.0,258.231117,1000,0
2026-04-03T10:30:13.144844-05:00,rw_3_2_200,0.74,0,rw_interleaved,1,1,0,0,200,2,3,300,29.0,29.0,29.0,258.14779,30.0,30.06,31.0,258.106146,1000,0
2026-04-03T10:30:14.111528-05:00,rw_4_2_1,0.97,,rw_interleaved,1,1,0,0,1,2,4,300,,,,,,,,,1000,-6
2026-04-03T10:30:15.048272-05:00,rw_4_2_2,0.93,,rw_interleaved,1,1,0,0,2,2,4,300,,,,,,,,,1000,-6
2026-04-03T10:30:15.987044-05:00,rw_4_2_3,0.94,,rw_interleaved,1,1,0,0,3,2,4,300,,,,,,,,,1000,-6
2026-04-03T10:30:16.926493-05:00,rw_4_2_4,0.94,,rw_interleaved,1,1,0,0,4,2,4,300,,,,,,,,,1000,-6
2026-04-03T10:30:17.877945-05:00,rw_4_2_5,0.95,,rw_interleaved,1,1,0,0,5,2,4,300,,,,,,,,,1000,-6
2026-04-03T10:30:18.835915-05:00,rw_4_2_6,0.96,,rw_interleaved,1,1,0,0,6,2,4,300,,,,,,,,,1000,-6
2026-04-03T10:30:19.754822-05:00,rw_4_2_7,0.92,,rw_interleaved,1,1,0,0,7,2,4,300,,,,,,,,,1000,-6
2026-04-03T10:30:20.703540-05:00,rw_4_2_8,0.95,,rw_interleaved,1,1,0,0,8,2,4,300,,,,,,,,,1000,-6
2026-04-03T10:30:21.645139-05:00,rw_4_2_9,0.94,,rw_interleaved,1,1,0,0,9,2,4,300,,,,,,,,,1000,-6
2026-04-03T10:30:22.600339-05:00,rw_4_2_10,0.95,,rw_interleaved,1,1,0,0,10,2,4,300,,,,,,,,,1000,-6
2026-04-03T10:30:23.506466-05:00,rw_4_2_50,0.9,,rw_interleaved,1,1,0,0,50,2,4,300,,,,,,,,,1000,-6
2026-04-03T10:30:24.417430-05:00,rw_4_2_200,0.91,,rw_interleaved,1,1,0,0,200,2,4,300,,,,,,,,,1000,-6
2026-04-03T10:30:25.342720-05:00,rw_5_2_1,0.92,,rw_interleaved,1,1,0,0,1,2,5,300,,,,,,,,,1000,-6
2026-04-03T10:30:26.201105-05:00,rw_5_2_2,0.86,,rw_interleaved,1,1,0,0,2,2,5,300,,,,,,,,,1000,-6
2026-04-03T10:30:27.103819-05:00,rw_5_2_3,0.9,,rw_interleaved,1,1,0,0,3,2,5,300,,,,,,,,,1000,-6
2026-04-03T10:30:28.054433-05:00,rw_5_2_4,0.95,,rw_interleaved,1,1,0,0,4,2,5,300,,,,,,,,,1000,-6
2026-04-03T10:30:28.990053-05:00,rw_5_2_5,0.93,,rw_interleaved,1,1,0,0,5,2,5,300,,,,,,,,,1000,-6
2026-04-03T10:30:28.724258-05:00,rw_5_2_6,0.92,,rw_interleaved,1,1,0,0,6,2,5,300,,,,,,,,,1000,-6
2026-04-03T10:30:29.655907-05:00,rw_5_2_7,0.93,,rw_interleaved,1,1,0,0,7,2,5,300,,,,,,,,,1000,-6
2026-04-03T10:30:30.653808-05:00,rw_5_2_8,1.0,,rw_interleaved,1,1,0,0,8,2,5,300,,,,,,,,,1000,-6
2026-04-03T10:30:31.625611-05:00,rw_5_2_9,0.97,,rw_interleaved,1,1,0,0,9,2,5,300,,,,,,,,,1000,-6
2026-04-03T10:30:32.568853-05:00,rw_5_2_10,0.94,,rw_interleaved,1,1,0,0,10,2,5,300,,,,,,,,,1000,-6
2026-04-03T10:30:33.565413-05:00,rw_5_2_50,0.99,,rw_interleaved,1,1,0,0,50,2,5,300,,,,,,,,,1000,-6
2026-04-03T10:30:34.537868-05:00,rw_5_2_200,0.97,,rw_interleaved,1,1,0,0,200,2,5,300,,,,,,,,,1000,-6
2026-04-03T10:30:35.505766-05:00,rw_6_2_1,0.97,,rw_interleaved,1,1,0,0,1,2,6,300,,,,,,,,,1000,-6
2026-04-03T10:30:36.445848-05:00,rw_6_2_2,0.94,,rw_interleaved,1,1,0,0,2,2,6,300,,,,,,,,,1000,-6
2026-04-03T10:30:37.357224-05:00,rw_6_2_3,0.91,,rw_interleaved,1,1,0,0,3,2,6,300,,,,,,,,,1000,-6
2026-04-03T10:30:38.337017-05:00,rw_6_2_4,0.98,,rw_interleaved,1,1,0,0,4,2,6,300,,,,,,,,,1000,-6
2026-04-03T10:30:39.309253-05:00,rw_6_2_5,0.97,,rw_interleaved,1,1,0,0,5,2,6,300,,,,,,,,,1000,-6
2026-04-03T10:30:40.291653-05:00,rw_6_2_6,0.98,,rw_interleaved,1,1,0,0,6,2,6,300,,,,,,,,,1000,-6
2026-04-03T10:30:41.278562-05:00,rw_6_2_7,0.98,,rw_interleaved,1,1,0,0,7,2,6,300,,,,,,,,,1000,-6
2026-04-03T10:30:42.277738-05:00,rw_6_2_8,1.0,,rw_interleaved,1,1,0,0,8,2,6,300,,,,,,,,,1000,-6
2026-04-03T10:30:43.260933-05:00,rw_6_2_9,0.98,,rw_interleaved,1,1,0,0,9,2,6,300,,,,,,,,,1000,-6
2026-04-03T10:30:44.213936-05:00,rw_6_2_10,0.95,,rw_interleaved,1,1,0,0,10,2,6,300,,,,,,,,,1000,-6
2026-04-03T10:30:45.164670-05:00,rw_6_2_50,0.95,,rw_interleaved,1,1,0,0,50,2,6,300,,,,,,,,,1000,-6
2026-04-03T10:30:46.112108-05:00,rw_6_2_200,0.95,,rw_interleaved,1,1,0,0,200,2,6,300,,,,,,,,,1000,-6
2026-04-03T10:30:47.083980-05:00,rw_7_2_1,0.97,,rw_interleaved,1,1,0,0,1,2,7,300,,,,,,,,,1000,-6
2026-04-03T10:30:48.021066-05:00,rw_7_2_2,0.93,,rw_interleaved,1,1,0,0,2,2,7,300,,,,,,,,,1000,-6
2026-04-03T10:30:48.915904-05:00,rw_7_2_3,0.89,,rw_interleaved,1,1,0,0,3,2,7,300,,,,,,,,,1000,-6
2026-04-03T10:30:49.811901-05:00,rw_7_2_4,0.89,,rw_interleaved,1,1,0,0,4,2,7,300,,,,,,,,,1000,-6
2026-04-03T10:30:50.752178-05:00,rw_7_2_5,0.94,,rw_interleaved,1,1,0,0,5,2,7,300,,,,,,,,,1000,-6
2026-04-03T10:30:51.705671-05:00,rw_7_2_6,0.95,,rw_interleaved,1,1,0,0,6,2,7,300,,,,,,,,,1000,-6
2026-04-03T10:30:52.700141-05:00,rw_7_2_7,0.99,,rw_interleaved,1,1,0,0,7,2,7,300,,,,,,,,,1000,-6
2026-04-03T10:30:53.625293-05:00,rw_7_2_8,0.92,,rw_interleaved,1,1,0,0,8,2,7,300,,,,,,,,,1000,-6
2026-04-03T10:30:54.505577-05:00,rw_7_2_9,0.88,,rw_interleaved,1,1,0,0,9,2,7,300,,,,,,,,,1000,-6
2026-04-03T10:30:55.425701-05:00,rw_7_2_10,0.92,,rw_interleaved,1,1,0,0,10,2,7,300,,,,,,,,,1000,-6
2026-04-03T10:30:56.360237-05:00,rw_7_2_50,0.93,,rw_interleaved,1,1,0,0,50,2,7,300,,,,,,,,,1000,-6
2026-04-03T10:30:57.375186-05:00,rw_7_2_200,1.01,,rw_interleaved,1,1,0,0,200,2,7,300,,,,,,,,,1000,-6
2026-04-03T10:30:58.310388-05:00,rw_8_2_1,0.93,,rw_interleaved,1,1,0,0,1,2,8,300,,,,,,,,,1000,-6
2026-04-03T10:30:59.251758-05:00,rw_8_2_2,0.94,,rw_interleaved,1,1,0,0,2,2,8,300,,,,,,,,,1000,-6
2026-04-03T10:31:00.212782-05:00,rw_8_2_3,0.96,,rw_interleaved,1,1,0,0,3,2,8,300,,,,,,,,,1000,-6
2026-04-03T10:30:59.671012-05:00,rw_8_2_4,0.87,,rw_interleaved,1,1,0,0,4,2,8,300,,,,,,,,,1000,-6
2026-04-03T10:31:00.661800-05:00,rw_8_2_5,0.99,,rw_interleaved,1,1,0,0,5,2,8,300,,,,,,,,,1000,-6
2026-04-03T10:31:01.560762-05:00,rw_8_2_6,0.9,,rw_interleaved,1,1,0,0,6,2,8,300,,,,,,,,,1000,-6
2026-04-03T10:31:02.513490-05:00,rw_8_2_7,0.95,,rw_interleaved,1,1,0,0,7,2,8,300,,,,,,,,,1000,-6
2026-04-03T10:31:03.458411-05:00,rw_8_2_8,0.94,,rw_interleaved,1,1,0,0,8,2,8,300,,,,,,,,,1000,-6
2026-04-03T10:31:04.406432-05:00,rw_8_2_9,0.95,,rw_interleaved,1,1,0,0,9,2,8,300,,,,,,,,,1000,-6
2026-04-03T10:31:05.306080-05:00,rw_8_2_10,0.9,,rw_interleaved,1,1,0,0,10,2,8,300,,,,,,,,,1000,-6
2026-04-03T10:31:06.224639-05:00,rw_8_2_50,0.92,,rw_interleaved,1,1,0,0,50,2,8,300,,,,,,,,,1000,-6
2026-04-03T10:31:07.158241-05:00,rw_8_2_200,0.93,,rw_interleaved,1,1,0,0,200,2,8,300,,,,,,,,,1000,-6
2026-04-03T10:31:08.109662-05:00,rw_9_2_1,0.95,,rw_interleaved,1,1,0,0,1,2,9,300,,,,,,,,,1000,-6
2026-04-03T10:31:09.049353-05:00,rw_9_2_2,0.94,,rw_interleaved,1,1,0,0,2,2,9,300,,,,,,,,,1000,-6
2026-04-03T10:31:10.023465-05:00,rw_9_2_3,0.97,,rw_interleaved,1,1,0,0,3,2,9,300,,,,,,,,,1000,-6
2026-04-03T10:31:11.021417-05:00,rw_9_2_4,1.0,,rw_interleaved,1,1,0,0,4,2,9,300,,,,,,,,,1000,-6
2026-04-03T10:31:12.030916-05:00,rw_9_2_5,1.01,,rw_interleaved,1,1,0,0,5,2,9,300,,,,,,,,,1000,-6
2026-04-03T10:31:13.037261-05:00,rw_9_2_6,1.0,,rw_interleaved,1,1,0,0,6,2,9,300,,,,,,,,,1000,-6
2026-04-03T10:31:13.961214-05:00,rw_9_2_7,0.92,,rw_interleaved,1,1,0,0,7,2,9,300,,,,,,,,,1000,-6
