name,config,sim_time_s,num_write_trans_cfg,num_sources,num_dests,total_packets
pos_2hop_64pkt_rtl,pos,0.53,64,1,1,64
pos_2hop_256pkt_rtl,pos,0.71,256,1,1,256
pos_2hop_1024pkt_rtl,pos,1.45,1024,1,1,1024
pos_2hop_2048pkt_rtl,pos,2.4,2048,1,1,2048
pos_8hop_64pkt_rtl,pos,0.85,64,1,1,64
pos_8hop_256pkt_rtl,pos,1.11,256,1,1,256
pos_8hop_1024pkt_rtl,pos,2.07,1024,1,1,1024
pos_8hop_2048pkt_rtl,pos,3.37,2048,1,1,2048
pos_16hop_64pkt_rtl,pos,1.28,64,1,1,64
pos_16hop_256pkt_rtl,pos,1.62,256,1,1,256
pos_16hop_1024pkt_rtl,pos,3.03,1024,1,1,1024
pos_16hop_2048pkt_rtl,pos,4.84,2048,1,1,2048
pos_32hop_64pkt_rtl,pos,2.47,64,1,1,64
pos_32hop_256pkt_rtl,pos,3.24,256,1,1,256
pos_32hop_1024pkt_rtl,pos,6.19,1024,1,1,1024
pos_32hop_2048pkt_rtl,pos,10.01,2048,1,1,2048
ddr_2hop_64pkt_rtl,ddr,0.72,64,1,1,64
ddr_2hop_256pkt_rtl,ddr,0.9,256,1,1,256
ddr_2hop_1024pkt_rtl,ddr,1.84,1024,1,1,1024
ddr_2hop_2048pkt_rtl,ddr,3.13,2048,1,1,2048
ddr_8hop_64pkt_rtl,ddr,0.89,64,1,1,64
ddr_8hop_256pkt_rtl,ddr,1.19,256,1,1,256
ddr_8hop_1024pkt_rtl,ddr,2.34,1024,1,1,1024
ddr_8hop_2048pkt_rtl,ddr,3.88,2048,1,1,2048
ddr_16hop_64pkt_rtl,ddr,1.32,64,1,1,64
ddr_16hop_256pkt_rtl,ddr,2.22,256,1,1,256
ddr_16hop_1024pkt_rtl,ddr,3.4,1024,1,1,1024
ddr_16hop_2048pkt_rtl,ddr,5.57,2048,1,1,2048
ddr_32hop_64pkt_rtl,ddr,2.09,64,1,1,64
ddr_32hop_256pkt_rtl,ddr,2.76,256,1,1,256
ddr_32hop_1024pkt_rtl,ddr,5.39,1024,1,1,1024
ddr_32hop_2048pkt_rtl,ddr,8.99,2048,1,1,2048
