name,config,sim_time_s,num_write_trans_cfg,num_sources,num_dests,total_packets
pos_2hop_64pkt_rtl,pos,94,64,1,1,64
pos_2hop_256pkt_rtl,pos,188,256,1,1,256
pos_2hop_1024pkt_rtl,pos,566,1024,1,1,1024
pos_2hop_2048pkt_rtl,pos,1061,2048,1,1,2048
pos_8hop_64pkt_rtl,pos,122,64,1,1,64
pos_8hop_256pkt_rtl,pos,251,256,1,1,256
pos_8hop_1024pkt_rtl,pos,763,1024,1,1,1024
pos_8hop_2048pkt_rtl,pos,1439,2048,1,1,2048
pos_16hop_64pkt_rtl,pos,146,64,1,1,64
pos_16hop_256pkt_rtl,pos,309,256,1,1,256
pos_16hop_1024pkt_rtl,pos,967,1024,1,1,1024
pos_16hop_2048pkt_rtl,pos,1841,2048,1,1,2048
pos_32hop_64pkt_rtl,pos,211,64,1,1,64
pos_32hop_256pkt_rtl,pos,446,256,1,1,256
pos_32hop_1024pkt_rtl,pos,1422,1024,1,1,1024
pos_32hop_2048pkt_rtl,pos,2755,2048,1,1,2048
ddr_2hop_64pkt_rtl,ddr,97,64,1,1,64
ddr_2hop_256pkt_rtl,ddr,192,256,1,1,256
ddr_2hop_1024pkt_rtl,ddr,554,1024,1,1,1024
ddr_2hop_2048pkt_rtl,ddr,1055,2048,1,1,2048
ddr_8hop_64pkt_rtl,ddr,103,64,1,1,64
ddr_8hop_256pkt_rtl,ddr,207,256,1,1,256
ddr_8hop_1024pkt_rtl,ddr,614,1024,1,1,1024
ddr_8hop_2048pkt_rtl,ddr,1186,2048,1,1,2048
ddr_16hop_64pkt_rtl,ddr,124,64,1,1,64
ddr_16hop_256pkt_rtl,ddr,246,256,1,1,256
ddr_16hop_1024pkt_rtl,ddr,736,1024,1,1,1024
ddr_16hop_2048pkt_rtl,ddr,1407,2048,1,1,2048
ddr_32hop_64pkt_rtl,ddr,150,64,1,1,64
ddr_32hop_256pkt_rtl,ddr,319,256,1,1,256
ddr_32hop_1024pkt_rtl,ddr,995,1024,1,1,1024
ddr_32hop_2048pkt_rtl,ddr,1897,2048,1,1,2048
pos_2hop_64pkt_gem5,pos,0.58,64,1,1,64
pos_2hop_256pkt_gem5,pos,0.75,256,1,1,256
pos_2hop_1024pkt_gem5,pos,1.46,1024,1,1,1024
pos_2hop_2048pkt_gem5,pos,2.43,2048,1,1,2048
pos_8hop_64pkt_gem5,pos,0.85,64,1,1,64
pos_8hop_256pkt_gem5,pos,1.04,256,1,1,256
pos_8hop_1024pkt_gem5,pos,1.98,1024,1,1,1024
pos_8hop_2048pkt_gem5,pos,3.07,2048,1,1,2048
pos_16hop_64pkt_gem5,pos,1.33,64,1,1,64
pos_16hop_256pkt_gem5,pos,1.54,256,1,1,256
pos_16hop_1024pkt_gem5,pos,2.74,1024,1,1,1024
pos_16hop_2048pkt_gem5,pos,4.25,2048,1,1,2048
pos_32hop_64pkt_gem5,pos,2.48,64,1,1,64
pos_32hop_256pkt_gem5,pos,2.93,256,1,1,256
pos_32hop_1024pkt_gem5,pos,4.95,1024,1,1,1024
pos_32hop_2048pkt_gem5,pos,7.71,2048,1,1,2048
ddr_2hop_64pkt_gem5,ddr,0.66,64,1,1,64
ddr_2hop_256pkt_gem5,ddr,0.77,256,1,1,256
ddr_2hop_1024pkt_gem5,ddr,1.27,1024,1,1,1024
ddr_2hop_2048pkt_gem5,ddr,2.05,2048,1,1,2048
ddr_8hop_64pkt_gem5,ddr,0.88,64,1,1,64
ddr_8hop_256pkt_gem5,ddr,1.02,256,1,1,256
ddr_8hop_1024pkt_gem5,ddr,1.73,1024,1,1,1024
ddr_8hop_2048pkt_gem5,ddr,2.58,2048,1,1,2048
ddr_16hop_64pkt_gem5,ddr,1.23,64,1,1,64
ddr_16hop_256pkt_gem5,ddr,1.46,256,1,1,256
ddr_16hop_1024pkt_gem5,ddr,2.35,1024,1,1,1024
ddr_16hop_2048pkt_gem5,ddr,3.53,2048,1,1,2048
ddr_32hop_64pkt_gem5,ddr,1.97,64,1,1,64
ddr_32hop_256pkt_gem5,ddr,2.51,256,1,1,256
ddr_32hop_1024pkt_gem5,ddr,3.81,1024,1,1,1024
ddr_32hop_2048pkt_gem5,ddr,5.99,2048,1,1,2048
