name,config,sim_time_s,num_write_trans_cfg,num_sources,num_dests,total_packets
pos_2hop_64pkt_tlm,pos,136,64,1,1,64
pos_2hop_256pkt_tlm,pos,208,256,1,1,256
pos_2hop_1024pkt_tlm,pos,523,1024,1,1,1024
pos_2hop_2048pkt_tlm,pos,971,2048,1,1,2048
pos_8hop_64pkt_tlm,pos,131,64,1,1,64
pos_8hop_256pkt_tlm,pos,208,256,1,1,256
pos_8hop_1024pkt_tlm,pos,545,1024,1,1,1024
pos_8hop_2048pkt_tlm,pos,992,2048,1,1,2048
pos_16hop_64pkt_tlm,pos,132,64,1,1,64
pos_16hop_256pkt_tlm,pos,209,256,1,1,256
pos_16hop_1024pkt_tlm,pos,556,1024,1,1,1024
pos_16hop_2048pkt_tlm,pos,1019,2048,1,1,2048
pos_32hop_64pkt_tlm,pos,131,64,1,1,64
pos_32hop_256pkt_tlm,pos,216,256,1,1,256
pos_32hop_1024pkt_tlm,pos,568,1024,1,1,1024
pos_32hop_2048pkt_tlm,pos,1042,2048,1,1,2048
ddr_2hop_64pkt_tlm,ddr,110,64,1,1,64
ddr_2hop_256pkt_tlm,ddr,135,256,1,1,256
ddr_2hop_1024pkt_tlm,ddr,238,1024,1,1,1024
ddr_2hop_2048pkt_tlm,ddr,373,2048,1,1,2048
ddr_8hop_64pkt_tlm,ddr,108,64,1,1,64
ddr_8hop_256pkt_tlm,ddr,138,256,1,1,256
ddr_8hop_1024pkt_tlm,ddr,241,1024,1,1,1024
ddr_8hop_2048pkt_tlm,ddr,393,2048,1,1,2048
ddr_16hop_64pkt_tlm,ddr,110,64,1,1,64
ddr_16hop_256pkt_tlm,ddr,139,256,1,1,256
ddr_16hop_1024pkt_tlm,ddr,258,1024,1,1,1024
ddr_16hop_2048pkt_tlm,ddr,425,2048,1,1,2048
ddr_32hop_64pkt_tlm,ddr,112,64,1,1,64
ddr_32hop_256pkt_tlm,ddr,140,256,1,1,256
ddr_32hop_1024pkt_tlm,ddr,272,1024,1,1,1024
ddr_32hop_2048pkt_tlm,ddr,442,2048,1,1,2048
pos_2hop_64pkt_gem5,pos,0.58,64,1,1,64
pos_2hop_256pkt_gem5,pos,0.75,256,1,1,256
pos_2hop_1024pkt_gem5,pos,1.46,1024,1,1,1024
pos_2hop_2048pkt_gem5,pos,2.43,2048,1,1,2048
pos_8hop_64pkt_gem5,pos,0.85,64,1,1,64
pos_8hop_256pkt_gem5,pos,1.04,256,1,1,256
pos_8hop_1024pkt_gem5,pos,1.98,1024,1,1,1024
pos_8hop_2048pkt_gem5,pos,3.07,2048,1,1,2048
pos_16hop_64pkt_gem5,pos,1.33,64,1,1,64
pos_16hop_256pkt_gem5,pos,1.54,256,1,1,256
pos_16hop_1024pkt_gem5,pos,2.74,1024,1,1,1024
pos_16hop_2048pkt_gem5,pos,4.25,2048,1,1,2048
pos_32hop_64pkt_gem5,pos,2.48,64,1,1,64
pos_32hop_256pkt_gem5,pos,2.93,256,1,1,256
pos_32hop_1024pkt_gem5,pos,4.95,1024,1,1,1024
pos_32hop_2048pkt_gem5,pos,7.71,2048,1,1,2048
ddr_2hop_64pkt_gem5,ddr,0.66,64,1,1,64
ddr_2hop_256pkt_gem5,ddr,0.77,256,1,1,256
ddr_2hop_1024pkt_gem5,ddr,1.27,1024,1,1,1024
ddr_2hop_2048pkt_gem5,ddr,2.05,2048,1,1,2048
ddr_8hop_64pkt_gem5,ddr,0.88,64,1,1,64
ddr_8hop_256pkt_gem5,ddr,1.02,256,1,1,256
ddr_8hop_1024pkt_gem5,ddr,1.73,1024,1,1,1024
ddr_8hop_2048pkt_gem5,ddr,2.58,2048,1,1,2048
ddr_16hop_64pkt_gem5,ddr,1.23,64,1,1,64
ddr_16hop_256pkt_gem5,ddr,1.46,256,1,1,256
ddr_16hop_1024pkt_gem5,ddr,2.35,1024,1,1,1024
ddr_16hop_2048pkt_gem5,ddr,3.53,2048,1,1,2048
ddr_32hop_64pkt_gem5,ddr,1.97,64,1,1,64
ddr_32hop_256pkt_gem5,ddr,2.51,256,1,1,256
ddr_32hop_1024pkt_gem5,ddr,3.81,1024,1,1,1024
ddr_32hop_2048pkt_gem5,ddr,5.99,2048,1,1,2048
