finished_at_iso,name,sim_time_s,src_id,tg_mode,num_aximm_tg,num_aximm_bram,num_axis_tg,num_axis_end,num_write_transactions_cfg,axi_write_size_bytes,axi_write_len_beats,axi_write_bandwidth_cfg_MBps,achieved_write_bandwidth_MBps,write_latency_min,write_latency_max,write_latency_avg,achieved_read_bandwidth_MBps,read_latency_min,read_latency_max,read_latency_avg,write_req_total,read_req_total,num_read_transactions_cfg,axi_clk_period_ps,tg_axi_data_width_bits,endpoint_data_width_bits,qos_read_bw_MBps,qos_write_bw_MBps,qos_avg_burst,test_status
2026-05-01T10:46:38-0500,ladder_2hop_aximm_3_64_100_bw300,126,0,rw_interleaved,1,1,0,0,100,64,3,300,302.833146,56,57,56,302.858224,48,49,48,100,100,50,1000,512,512,500,500,4,TEST PASSED
2026-05-01T10:51:59-0500,ladder_2hop_aximm_15_64_100_bw300,288,0,rw_interleaved,1,1,0,0,100,64,15,300,302.935277,107,107,107,302.933485,108,109,108,100,100,50,1000,512,512,500,500,4,TEST PASSED
2026-05-01T11:03:20-0500,ladder_2hop_aximm_31_64_100_bw300,647,0,rw_interleaved,1,1,0,0,100,64,31,300,302.951409,175,175,175,302.945136,188,189,188,100,100,50,1000,512,512,500,500,4,TEST PASSED
2026-05-01T11:06:08-0500,ladder_4hop_aximm_3_64_100_bw300,134,0,rw_interleaved,1,1,0,0,100,64,3,300,302.804490,64,65,64,302.829564,56,57,56,100,100,50,1000,512,512,500,500,4,TEST PASSED
2026-05-01T11:11:44-0500,ladder_4hop_aximm_15_64_100_bw300,302,0,rw_interleaved,1,1,0,0,100,64,15,300,302.928108,115,115,115,302.926316,116,117,116,100,100,50,1000,512,512,500,500,4,TEST PASSED
2026-05-01T11:23:56-0500,ladder_4hop_aximm_31_64_100_bw300,698,0,rw_interleaved,1,1,0,0,100,64,31,300,302.947824,183,183,183,302.941551,196,197,196,100,100,50,1000,512,512,500,500,4,TEST PASSED
2026-05-01T11:27:09-0500,ladder_8hop_aximm_3_64_100_bw300,158,0,rw_interleaved,1,1,0,0,100,64,3,300,302.747194,80,81,80,302.772258,72,73,72,100,100,50,1000,512,512,500,500,4,TEST PASSED
2026-05-01T11:33:36-0500,ladder_8hop_aximm_15_64_100_bw300,353,0,rw_interleaved,1,1,0,0,100,64,15,300,302.913770,131,131,131,302.911978,132,133,132,100,100,50,1000,512,512,500,500,4,TEST PASSED
2026-05-01T11:46:52-0500,ladder_8hop_aximm_31_64_100_bw300,762,0,rw_interleaved,1,1,0,0,100,64,31,300,302.940654,199,199,199,302.934381,212,213,212,100,100,50,1000,512,512,500,500,4,TEST PASSED
2026-05-01T11:50:14-0500,ladder_12hop_aximm_3_64_100_bw300,168,0,rw_interleaved,1,1,0,0,100,64,3,300,302.689920,96,97,96,302.714975,88,89,88,100,100,50,1000,512,512,500,500,4,TEST PASSED
2026-05-01T11:57:16-0500,ladder_12hop_aximm_15_64_100_bw300,388,0,rw_interleaved,1,1,0,0,100,64,15,300,302.899434,147,147,147,302.897642,148,149,148,100,100,50,1000,512,512,500,500,4,TEST PASSED
2026-05-01T12:11:40-0500,ladder_12hop_aximm_31_64_100_bw300,830,0,rw_interleaved,1,1,0,0,100,64,31,300,302.933485,215,215,215,302.927212,228,229,228,100,100,50,1000,512,512,500,500,4,TEST PASSED
2026-05-01T12:15:33-0500,ladder_16hop_aximm_3_64_100_bw300,199,0,rw_interleaved,1,1,0,0,100,64,3,300,302.575437,128,129,128,302.600473,120,121,120,100,100,50,1000,512,512,500,500,4,TEST PASSED
2026-05-01T12:24:15-0500,ladder_16hop_aximm_15_64_100_bw300,488,0,rw_interleaved,1,1,0,0,100,64,15,300,302.870765,179,179,179,302.868974,180,181,180,100,100,50,1000,512,512,500,500,4,TEST PASSED
2026-05-01T12:41:39-0500,ladder_16hop_aximm_31_64_100_bw300,1011,0,rw_interleaved,1,1,0,0,100,64,31,300,302.919147,247,247,247,302.912874,260,261,260,100,100,50,1000,512,512,500,500,4,TEST PASSED
2026-05-01T12:46:12-0500,ladder_24hop_aximm_3_64_100_bw300,239,0,rw_interleaved,1,1,0,0,100,64,3,300,302.403875,176,177,176,302.428882,168,169,168,100,100,50,1000,512,512,500,500,4,TEST PASSED
2026-05-01T12:56:26-0500,ladder_24hop_aximm_15_64_100_bw300,580,0,rw_interleaved,1,1,0,0,100,64,15,300,302.827773,227,227,227,302.825982,228,229,228,100,100,50,1000,512,512,500,500,4,TEST PASSED
2026-05-01T13:17:06-0500,ladder_24hop_aximm_31_64_100_bw300,1205,0,rw_interleaved,1,1,0,0,100,64,31,300,302.897642,295,295,295,302.891370,308,309,308,100,100,50,1000,512,512,500,500,4,TEST PASSED
2026-05-01T13:21:47-0500,ladder_32hop_aximm_3_64_100_bw300,246,0,rw_interleaved,1,1,0,0,100,64,3,300,302.261054,216,217,216,302.286038,208,209,208,100,100,50,1000,512,512,500,500,4,TEST PASSED
2026-05-01T13:32:40-0500,ladder_32hop_aximm_15_64_100_bw300,619,0,rw_interleaved,1,1,0,0,100,64,15,300,302.791955,267,267,267,302.790164,268,269,268,100,100,50,1000,512,512,500,500,4,TEST PASSED
2026-05-01T13:54:14-0500,ladder_32hop_aximm_31_64_100_bw300,1259,0,rw_interleaved,1,1,0,0,100,64,31,300,302.879724,335,335,335,302.873453,348,349,348,100,100,50,1000,512,512,500,500,4,TEST PASSED
