name,config,sim_time_s,num_write_trans_cfg,num_sources,num_dests,total_packets
1to1_small,1to1,180,256,1,1,256
1to1_med_small,1to1,565,1024,1,1,1024
1to1_medium,1to1,1347,2560,1,1,2560
1to1_large,1to1,2667,5120,1,1,5120
2to2_small,2to2,182,64,2,2,256
2to2_med_small,2to2,551,256,2,2,1024
2to2_medium,2to2,1266,640,2,2,2560
2to2_large,2to2,2472,1280,2,2,5120
4to4_small,4to4,316,16,4,4,256
4to4_med_small,4to4,737,64,4,4,1024
4to4_medium,4to4,1694,160,4,4,2560
4to4_large,4to4,3218,320,4,4,5120
8to8_small,8to8,335,4,8,8,256
8to8_med_small,8to8,700,16,8,8,1024
8to8_medium,8to8,1432,40,8,8,2560
8to8_large,8to8,2705,80,8,8,5120
16to16_small,16to16,480,1,16,16,256
16to16_med_small,16to16,885,4,16,16,1024
16to16_medium,16to16,1684,10,16,16,2560
16to16_large,16to16,3096,20,16,16,5120
1to1_small_tlm,1to1,204,256,1,1,256
1to1_med_small_tlm,1to1,538,1024,1,1,1024
1to1_medium_tlm,1to1,1202,2560,1,1,2560
1to1_large_tlm,1to1,2376,5120,1,1,5120
2to2_small_tlm,2to2,204,64,2,2,256
2to2_medium_tlm,2to2,1234,640,2,2,2560
2to2_large_tlm,2to2,2311,1280,2,2,5120
4to4_small_tlm,4to4,236,16,4,4,256
4to4_med_small_tlm,4to4,496,64,4,4,1024
4to4_medium_tlm,4to4,1142,160,4,4,2560
4to4_large_tlm,4to4,2218,320,4,4,5120
8to8_small_tlm,8to8,276,4,8,8,256
8to8_med_small_tlm,8to8,524,16,8,8,1024
8to8_medium_tlm,8to8,1028,40,8,8,2560
8to8_large_tlm,8to8,1890,80,8,8,5120
16to16_small_tlm,16to16,391,1,16,16,256
16to16_med_small_tlm,16to16,638,4,16,16,1024
16to16_medium_tlm,16to16,1175,10,16,16,2560
16to16_large_tlm,16to16,2062,20,16,16,5120
