finished_at_iso,name,sim_time_s,src_id,tg_mode,num_aximm_tg,num_aximm_bram,num_axis_tg,num_axis_end,num_write_transactions_cfg,axi_write_size_bytes,axi_write_len_beats,axi_write_bandwidth_cfg_MBps,achieved_write_bandwidth_MBps,write_latency_min,write_latency_max,write_latency_avg,achieved_read_bandwidth_MBps,read_latency_min,read_latency_max,read_latency_avg,write_req_total,read_req_total,num_read_transactions_cfg,axi_clk_period_ps,tg_axi_data_width_bits,endpoint_data_width_bits,qos_read_bw_MBps,qos_write_bw_MBps,qos_avg_burst,test_status
2026-01-09T02:37:15-0600,1to1_small,209,0,rw_interleaved,1,1,0,0,256,32,16,800,802.757635,34,83,79,802.850192,35,66,62,288,288,50,1000,512,512,500,500,4,TEST PASSED
2026-01-09T02:46:50-0600,1to1_med_small,539,0,rw_interleaved,1,1,0,0,1024,32,16,800,800.686480,34,83,79,800.706045,35,66,62,1152,1152,50,1000,512,512,500,500,4,TEST PASSED
2026-01-09T03:07:41-0600,1to1_medium,1214,0,rw_interleaved,1,1,0,0,2560,32,16,800,800.274451,34,83,79,800.282269,35,66,62,2880,2880,50,1000,512,512,500,500,4,TEST PASSED
2026-01-09T03:47:38-0600,1to1_large,2360,0,rw_interleaved,1,1,0,0,5120,32,16,800,800.137202,34,83,79,800.141109,35,66,62,5760,5760,50,1000,512,512,500,500,4,TEST PASSED
2026-01-09T03:52:16-0600,2to2_small,201,0,rw_interleaved,1,1,0,0,64,32,16,800,804.752329,36,188,157,805.674153,37,95,71,144,144,50,1000,512,512,500,500,4,TEST PASSED
2026-01-09T03:52:16-0600,2to2_small,201,1,rw_interleaved,1,1,0,0,64,32,16,800,804.929081,36,188,157,806.065868,34,95,71,144,144,50,1000,512,512,500,500,4,TEST PASSED
2026-01-09T04:02:09-0600,2to2_med_small,518,0,rw_interleaved,1,1,0,0,256,32,16,800,801.182812,36,188,159,801.422562,37,95,72,576,576,50,1000,512,512,500,500,4,TEST PASSED
2026-01-09T04:02:09-0600,2to2_med_small,518,1,rw_interleaved,1,1,0,0,256,32,16,800,801.226602,36,188,159,801.514811,34,95,72,576,576,50,1000,512,512,500,500,4,TEST PASSED
2026-01-09T04:22:51-0600,2to2_medium,1163,0,rw_interleaved,1,1,0,0,640,32,16,800,800.472706,36,188,159,800.563816,37,95,72,1440,1440,50,1000,512,512,500,500,4,TEST PASSED
2026-01-09T04:22:51-0600,2to2_medium,1163,1,rw_interleaved,1,1,0,0,640,32,16,800,800.490190,36,188,159,800.602475,36,95,72,1440,1440,50,1000,512,512,500,500,4,TEST PASSED
2026-01-09T05:01:25-0600,2to2_large,2237,0,rw_interleaved,1,1,0,0,1280,32,16,800,800.236283,36,188,159,800.281809,37,95,72,2880,2880,50,1000,512,512,500,500,4,TEST PASSED
2026-01-09T05:01:25-0600,2to2_large,2237,1,rw_interleaved,1,1,0,0,1280,32,16,800,800.245020,36,188,159,800.301124,36,95,72,2880,2880,50,1000,512,512,500,500,4,TEST PASSED
2026-01-09T05:08:41-0600,4to4_small,225,0,rw_interleaved,1,1,0,0,16,32,16,800,806.560719,34,344,271,810.088883,35,157,104,72,72,50,1000,512,512,500,500,4,TEST PASSED
2026-01-09T05:08:41-0600,4to4_small,225,1,rw_interleaved,1,1,0,0,16,32,16,800,806.990705,34,334,256,811.164698,34,123,84,72,72,50,1000,512,512,500,500,4,TEST PASSED
2026-01-09T05:08:41-0600,4to4_small,225,2,rw_interleaved,1,1,0,0,16,32,16,800,807.758341,34,330,267,812.413954,34,123,84,72,72,50,1000,512,512,500,500,4,TEST PASSED
2026-01-09T05:08:41-0600,4to4_small,225,3,rw_interleaved,1,1,0,0,16,32,16,800,809.806248,34,340,274,815.038509,34,157,104,72,72,50,1000,512,512,500,500,4,TEST PASSED
2026-01-09T05:19:38-0600,4to4_med_small,473,0,rw_interleaved,1,1,0,0,64,32,16,800,801.634768,34,344,272,802.480091,35,157,103,288,288,50,1000,512,512,500,500,4,TEST PASSED
2026-01-09T05:19:38-0600,4to4_med_small,473,1,rw_interleaved,1,1,0,0,64,32,16,800,801.740913,34,334,258,802.753007,34,123,84,288,288,50,1000,512,512,500,500,4,TEST PASSED
2026-01-09T05:19:38-0600,4to4_med_small,473,2,rw_interleaved,1,1,0,0,64,32,16,800,801.930197,34,330,267,803.058524,34,123,84,288,288,50,1000,512,512,500,500,4,TEST PASSED
2026-01-09T05:19:38-0600,4to4_med_small,473,3,rw_interleaved,1,1,0,0,64,32,16,800,802.433853,34,340,276,803.698082,34,157,104,288,288,50,1000,512,512,500,500,4,TEST PASSED
2026-01-09T05:40:29-0600,4to4_medium,1069,0,rw_interleaved,1,1,0,0,160,32,16,800,800.653106,34,344,275,800.990195,35,157,102,720,720,50,1000,512,512,500,500,4,TEST PASSED
2026-01-09T05:40:29-0600,4to4_medium,1069,1,rw_interleaved,1,1,0,0,160,32,16,800,800.695457,34,334,260,801.098934,35,123,84,720,720,50,1000,512,512,500,500,4,TEST PASSED
2026-01-09T05:40:29-0600,4to4_medium,1069,2,rw_interleaved,1,1,0,0,160,32,16,800,800.770963,34,330,270,801.220610,35,123,84,720,720,50,1000,512,512,500,500,4,TEST PASSED
2026-01-09T05:40:29-0600,4to4_medium,1069,3,rw_interleaved,1,1,0,0,160,32,16,800,800.971767,34,340,278,801.475142,35,157,104,720,720,50,1000,512,512,500,500,4,TEST PASSED
2026-01-09T06:18:27-0600,4to4_large,2097,0,rw_interleaved,1,1,0,0,320,32,16,800,800.326420,34,344,275,800.494791,35,157,102,1440,1440,50,1000,512,512,500,500,4,TEST PASSED
