name,config,sim_time_s,num_write_trans_cfg,num_sources,num_dests,total_packets
1to1_small,1to1,209,256,1,1,256
1to1_med_small,1to1,539,1024,1,1,1024
1to1_medium,1to1,1214,2560,1,1,2560
1to1_large,1to1,2360,5120,1,1,5120
2to2_small,2to2,201,64,2,2,256
2to2_med_small,2to2,518,256,2,2,1024
2to2_medium,2to2,1163,640,2,2,2560
2to2_large,2to2,2237,1280,2,2,5120
4to4_small,4to4,225,16,4,4,256
4to4_med_small,4to4,473,64,4,4,1024
4to4_medium,4to4,1069,160,4,4,2560
4to4_large,4to4,2097,320,4,4,5120
8to8_small,8to8,260,4,8,8,256
8to8_med_small,8to8,519,16,8,8,1024
8to8_medium,8to8,979,40,8,8,2560
8to8_large,8to8,1782,80,8,8,5120
16to16_small,16to16,366,1,16,16,256
16to16_med_small,16to16,600,4,16,16,1024
16to16_medium,16to16,1071,10,16,16,2560
16to16_large,16to16,1857,20,16,16,5120
