name,config,sim_time_s,num_write_trans_cfg,num_sources,num_dests,total_packets
pos_2hop_64pkt_rtl,pos,94,64,1,1,64
pos_2hop_256pkt_rtl,pos,188,256,1,1,256
pos_2hop_1024pkt_rtl,pos,566,1024,1,1,1024
pos_2hop_2048pkt_rtl,pos,1061,2048,1,1,2048
pos_8hop_64pkt_rtl,pos,122,64,1,1,64
pos_8hop_256pkt_rtl,pos,251,256,1,1,256
pos_8hop_1024pkt_rtl,pos,763,1024,1,1,1024
pos_8hop_2048pkt_rtl,pos,1439,2048,1,1,2048
pos_16hop_64pkt_rtl,pos,146,64,1,1,64
pos_16hop_256pkt_rtl,pos,309,256,1,1,256
pos_16hop_1024pkt_rtl,pos,967,1024,1,1,1024
pos_16hop_2048pkt_rtl,pos,1841,2048,1,1,2048
pos_32hop_64pkt_rtl,pos,211,64,1,1,64
pos_32hop_256pkt_rtl,pos,446,256,1,1,256
pos_32hop_1024pkt_rtl,pos,1422,1024,1,1,1024
pos_32hop_2048pkt_rtl,pos,2755,2048,1,1,2048
pos_2hop_64pkt_tlm,pos,136,64,1,1,64
pos_2hop_256pkt_tlm,pos,208,256,1,1,256
pos_2hop_1024pkt_tlm,pos,523,1024,1,1,1024
pos_2hop_2048pkt_tlm,pos,971,2048,1,1,2048
pos_8hop_64pkt_tlm,pos,131,64,1,1,64
pos_8hop_256pkt_tlm,pos,208,256,1,1,256
pos_8hop_1024pkt_tlm,pos,545,1024,1,1,1024
pos_8hop_2048pkt_tlm,pos,992,2048,1,1,2048
pos_16hop_64pkt_tlm,pos,132,64,1,1,64
pos_16hop_256pkt_tlm,pos,209,256,1,1,256
pos_16hop_1024pkt_tlm,pos,556,1024,1,1,1024
pos_16hop_2048pkt_tlm,pos,1019,2048,1,1,2048
pos_32hop_64pkt_tlm,pos,131,64,1,1,64
pos_32hop_256pkt_tlm,pos,216,256,1,1,256
pos_32hop_1024pkt_tlm,pos,568,1024,1,1,1024
pos_32hop_2048pkt_tlm,pos,1042,2048,1,1,2048
hbm_2hop_64pkt_rtl,hbm,164,64,1,1,64
hbm_2hop_256pkt_rtl,hbm,361,256,1,1,256
hbm_2hop_1024pkt_rtl,hbm,1195,1024,1,1,1024
hbm_2hop_2048pkt_rtl,hbm,2517,2048,1,1,2048
hbm_8hop_64pkt_rtl,hbm,161,64,1,1,64
hbm_8hop_256pkt_rtl,hbm,382,256,1,1,256
hbm_8hop_1024pkt_rtl,hbm,1266,1024,1,1,1024
hbm_8hop_2048pkt_rtl,hbm,2656,2048,1,1,2048
hbm_16hop_64pkt_rtl,hbm,169,64,1,1,64
hbm_16hop_256pkt_rtl,hbm,417,256,1,1,256
hbm_16hop_1024pkt_rtl,hbm,1375,1024,1,1,1024
hbm_16hop_2048pkt_rtl,hbm,2880,2048,1,1,2048
hbm_32hop_64pkt_rtl,hbm,208,64,1,1,64
hbm_32hop_256pkt_rtl,hbm,492,256,1,1,256
hbm_32hop_1024pkt_rtl,hbm,1693,1024,1,1,1024
hbm_32hop_2048pkt_rtl,hbm,3429,2048,1,1,2048
hbm_2hop_64pkt_tlm,hbm,108,64,1,1,64
hbm_2hop_256pkt_tlm,hbm,180,256,1,1,256
hbm_2hop_1024pkt_tlm,hbm,911,1024,1,1,1024
hbm_2hop_2048pkt_tlm,hbm,4529,2048,1,1,2048
hbm_8hop_64pkt_tlm,hbm,109,64,1,1,64
hbm_8hop_256pkt_tlm,hbm,176,256,1,1,256
hbm_8hop_1024pkt_tlm,hbm,948,1024,1,1,1024
hbm_8hop_2048pkt_tlm,hbm,4056,2048,1,1,2048
hbm_16hop_64pkt_tlm,hbm,109,64,1,1,64
hbm_16hop_256pkt_tlm,hbm,185,256,1,1,256
hbm_16hop_1024pkt_tlm,hbm,927,1024,1,1,1024
hbm_16hop_2048pkt_tlm,hbm,4134,2048,1,1,2048
hbm_32hop_64pkt_tlm,hbm,110,64,1,1,64
hbm_32hop_256pkt_tlm,hbm,178,256,1,1,256
