NOC_NSU128_X0Y13 resp  Channel 760 port0_in NOC_NPS7575_X0Y7
NOC_NSU128_X0Y13 req  Channel 764 port0_out NOC_NPS7575_X0Y7
NOC_NPS7575_X0Y7 port2_in  Channel 768 port0_out NOC_NPS7575_X1Y7
NOC_NPS7575_X0Y7 port2_out  Channel 765 port0_in NOC_NPS7575_X1Y7
NOC_NMU128_X0Y22 req_out  Channel 761 port0_in NOC_NPS7575_X0Y6
NOC_NPS7575_X0Y6 port0_out  Channel 762 resp_in NOC_NMU128_X0Y22
NOC_NPS7575_X0Y6 port2_in  Channel 766 port0_out NOC_NPS7575_X1Y6
NOC_NPS7575_X0Y6 port2_out  Channel 763 port0_in NOC_NPS7575_X1Y6
NOC_NPS7575_X1Y6 port2_in  Channel 770 port0_out NOC_NPS7575_X2Y6
NOC_NPS7575_X1Y6 port2_out  Channel 767 port0_in NOC_NPS7575_X2Y6
NOC_NPS7575_X1Y7 port2_in  Channel 772 port0_out NOC_NPS7575_X2Y7
NOC_NPS7575_X1Y7 port2_out  Channel 769 port0_in NOC_NPS7575_X2Y7
NOC_NPS7575_X2Y7 port2_in  Channel 776 port0_out NOC_NPS7575_X3Y7
NOC_NPS7575_X2Y7 port2_out  Channel 773 port0_in NOC_NPS7575_X3Y7
NOC_NPS7575_X2Y6 port2_in  Channel 774 port0_out NOC_NPS7575_X3Y6
NOC_NPS7575_X2Y6 port2_out  Channel 771 port0_in NOC_NPS7575_X3Y6
NOC_NPS7575_X3Y7 port2_in  Channel 782 port1_out NOC_NPP_RPTR_X0Y13
NOC_NPS7575_X3Y7 port2_out  Channel 777 port0_in NOC_NPP_RPTR_X0Y13
NOC_NPS7575_X3Y6 port2_in  Channel 780 port1_out NOC_NPP_RPTR_X0Y12
NOC_NPS7575_X3Y6 port2_out  Channel 775 port0_in NOC_NPP_RPTR_X0Y12
NOC_NPP_RPTR_X0Y13 port1_in  Channel 788 port0_out NOC_NPS7575_X4Y7
NOC_NPP_RPTR_X0Y13 port0_out  Channel 783 port0_in NOC_NPS7575_X4Y7
NOC_NPP_RPTR_X0Y12 port1_in  Channel 784 port0_out NOC_NPS7575_X4Y6
NOC_NPP_RPTR_X0Y12 port0_out  Channel 781 port0_in NOC_NPS7575_X4Y6
NOC_NSU128_X0Y1 resp  Channel 1691 port0_in NOC_NPS5555_X0Y0
NOC_NPS5555_X0Y0 port0_out  Channel 1704 req NOC_NSU128_X0Y1
NOC_NSU128_X0Y0 resp  Channel 1688 port1_in NOC_NPS5555_X0Y0
NOC_NSU128_X0Y0 req  Channel 1705 port1_out NOC_NPS5555_X0Y0
NOC_NMU128_X0Y1 req_out  Channel 1690 port1_in NOC_NPS5555_X1Y1
NOC_NMU128_X0Y1 resp_in  Channel 1717 port1_out NOC_NPS5555_X1Y1
NOC_NMU128_X0Y0 req_out  Channel 1689 port3_in NOC_NPS5555_X1Y0
NOC_NMU128_X0Y0 resp_in  Channel 1715 port3_out NOC_NPS5555_X1Y0
NOC_NMU128_X0Y3 req_out  Channel 1693 port1_in NOC_NPS5555_X1Y0
NOC_NMU128_X0Y3 resp_in  Channel 1713 port1_out NOC_NPS5555_X1Y0
NOC_NMU128_X0Y2 req_out  Channel 1692 port0_in NOC_NPS5555_X1Y1
NOC_NMU128_X0Y2 resp_in  Channel 1716 port0_out NOC_NPS5555_X1Y1
NOC_NMU128_X0Y9 req_out  Channel 1703 port1_in NOC_NPS5555_X2Y1
NOC_NMU128_X0Y9 resp_in  Channel 1725 port1_out NOC_NPS5555_X2Y1
NOC_NMU128_X0Y8 req_out  Channel 1702 port1_in NOC_NPS5555_X2Y0
NOC_NMU128_X0Y8 resp_in  Channel 1721 port1_out NOC_NPS5555_X2Y0
NOC_NMU128_X0Y7 req_out  Channel 1701 port3_in NOC_NPS5555_X3Y1
NOC_NMU128_X0Y7 resp_in  Channel 1735 port3_out NOC_NPS5555_X3Y1
NOC_NMU128_X0Y6 req_out  Channel 1700 port3_in NOC_NPS5555_X3Y0
NOC_NMU128_X0Y6 resp_in  Channel 1731 port3_out NOC_NPS5555_X3Y0
NOC_NMU128_X0Y4 req_out  Channel 1694 port1_in NOC_NPS5555_X4Y1
NOC_NMU128_X0Y4 resp_in  Channel 1741 port1_out NOC_NPS5555_X4Y1
NOC_NSU128_X0Y4 resp  Channel 1698 port1_in NOC_NPS5555_X4Y0
NOC_NSU128_X0Y4 req  Channel 1737 port1_out NOC_NPS5555_X4Y0
NOC_NMU128_X0Y5 req_out  Channel 1695 port3_in NOC_NPS5555_X4Y0
NOC_NMU128_X0Y5 resp_in  Channel 1739 port3_out NOC_NPS5555_X4Y0
NOC_NSU128_X0Y5 resp  Channel 1699 port3_in NOC_NPS5555_X4Y1
NOC_NSU128_X0Y5 req  Channel 1743 port3_out NOC_NPS5555_X4Y1
NOC_NSU128_X0Y2 resp  Channel 1696 port1_in NOC_NPS5555_X5Y0
NOC_NSU128_X0Y2 req  Channel 1745 port1_out NOC_NPS5555_X5Y0
NOC_NSU128_X0Y3 resp  Channel 1697 port3_in NOC_NPS5555_X5Y1
NOC_NSU128_X0Y3 req  Channel 1749 port3_out NOC_NPS5555_X5Y1
NOC_NPS5555_X0Y1 port0_in  Channel 1712 port0_out NOC_NPS5555_X1Y0
NOC_NPS5555_X1Y0 port0_in  Channel 1708 port0_out NOC_NPS5555_X0Y1
NOC_NPS5555_X0Y0 port3_out  Channel 1707 port1_in NOC_NPS5555_X0Y1
NOC_NPS5555_X0Y0 port3_in  Channel 1709 port1_out NOC_NPS5555_X0Y1
NOC_NPS5555_X1Y1 port3_out  Channel 1719 port3_in NOC_NPS5555_X0Y1
NOC_NPS5555_X1Y1 port3_in  Channel 1711 port3_out NOC_NPS5555_X0Y1
NOC_NPS5555_X0Y0 port2_in  Channel 1720 port0_out NOC_NPS5555_X2Y0
NOC_NPS5555_X0Y0 port2_out  Channel 1706 port0_in NOC_NPS5555_X2Y0
NOC_NPS5555_X0Y1 port2_in  Channel 1724 port0_out NOC_NPS5555_X2Y1
NOC_NPS5555_X0Y1 port2_out  Channel 1710 port0_in NOC_NPS5555_X2Y1
NOC_NPS5555_X1Y1 port2_in  Channel 1732 port0_out NOC_NPS5555_X3Y1
NOC_NPS5555_X1Y1 port2_out  Channel 1718 port0_in NOC_NPS5555_X3Y1
NOC_NPS5555_X1Y0 port2_in  Channel 1728 port0_out NOC_NPS5555_X3Y0
NOC_NPS5555_X1Y0 port2_out  Channel 1714 port0_in NOC_NPS5555_X3Y0
DDRMC_X0Y0 Port1_req  Channel 1727 port3_out NOC_NPS5555_X2Y1
DDRMC_X0Y0 Port1_resp  Channel 1947 port3_in NOC_NPS5555_X2Y1
DDRMC_X0Y0 Port0_req  Channel 1723 port3_out NOC_NPS5555_X2Y0
NOC_NPS5555_X2Y0 port3_in  Channel 1946 Port0_resp DDRMC_X0Y0
DDRMC_X0Y0 Port2_req  Channel 1733 port1_out NOC_NPS5555_X3Y1
DDRMC_X0Y0 Port2_resp  Channel 1948 port1_in NOC_NPS5555_X3Y1
DDRMC_X0Y0 Port3_req  Channel 1729 port1_out NOC_NPS5555_X3Y0
NOC_NPS5555_X3Y0 port1_in  Channel 1949 Port3_resp DDRMC_X0Y0
NOC_NPS5555_X2Y1 port2_in  Channel 1740 port0_out NOC_NPS5555_X4Y1
NOC_NPS5555_X2Y1 port2_out  Channel 1726 port0_in NOC_NPS5555_X4Y1
NOC_NPS5555_X2Y0 port2_in  Channel 1736 port0_out NOC_NPS5555_X4Y0
NOC_NPS5555_X2Y0 port2_out  Channel 1722 port0_in NOC_NPS5555_X4Y0
NOC_NPS5555_X3Y0 port2_in  Channel 1744 port0_out NOC_NPS5555_X5Y0
NOC_NPS5555_X3Y0 port2_out  Channel 1730 port0_in NOC_NPS5555_X5Y0
NOC_NPS5555_X5Y0 port2_in  Channel 1760 port0_out NOC_NPS5555_X7Y0
NOC_NPS5555_X5Y0 port2_out  Channel 1746 port0_in NOC_NPS5555_X7Y0
NOC_NPS5555_X4Y0 port2_in  Channel 1750 port0_out NOC_NPS5555_X6Y0
NOC_NPS5555_X6Y0 port0_in  Channel 1738 port2_out NOC_NPS5555_X4Y0
NOC_NPS5555_X5Y1 port2_in  Channel 1767 port0_out NOC_NPS5555_X7Y2
NOC_NPS5555_X5Y1 port2_out  Channel 1748 port0_in NOC_NPS5555_X7Y2
NOC_NPS5555_X4Y1 port2_in  Channel 1757 port0_out NOC_NPS5555_X6Y2
NOC_NPS5555_X6Y2 port0_in  Channel 1742 port2_out NOC_NPS5555_X4Y1
NOC_NSU128_X0Y7 resp  Channel 1204 port0_in NOC_NPS7575_X0Y3
NOC_NSU128_X0Y7 req  Channel 1208 port0_out NOC_NPS7575_X0Y3
NOC_NPS7575_X0Y3 port2_in  Channel 1212 port0_out NOC_NPS7575_X1Y3
NOC_NPS7575_X0Y3 port2_out  Channel 1209 port0_in NOC_NPS7575_X1Y3
NOC_NMU128_X0Y12 req_out  Channel 1205 port0_in NOC_NPS7575_X0Y2
NOC_NMU128_X0Y12 resp_in  Channel 1206 port0_out NOC_NPS7575_X0Y2
NOC_NPS7575_X0Y2 port2_in  Channel 1210 port0_out NOC_NPS7575_X1Y2
NOC_NPS7575_X0Y2 port2_out  Channel 1207 port0_in NOC_NPS7575_X1Y2
NOC_NPS7575_X1Y3 port2_in  Channel 1216 port0_out NOC_NPS7575_X2Y3
NOC_NPS7575_X1Y3 port2_out  Channel 1213 port0_in NOC_NPS7575_X2Y3
NOC_NPS7575_X1Y2 port2_in  Channel 1214 port0_out NOC_NPS7575_X2Y2
NOC_NPS7575_X1Y2 port2_out  Channel 1211 port0_in NOC_NPS7575_X2Y2
NOC_NPS7575_X2Y3 port2_in  Channel 1220 port0_out NOC_NPS7575_X3Y3
NOC_NPS7575_X2Y3 port2_out  Channel 1217 port0_in NOC_NPS7575_X3Y3
NOC_NPS7575_X2Y2 port2_in  Channel 1218 port0_out NOC_NPS7575_X3Y2
NOC_NPS7575_X2Y2 port2_out  Channel 1215 port0_in NOC_NPS7575_X3Y2
NOC_NPS7575_X3Y2 port2_in  Channel 1224 port1_out NOC_NPP_RPTR_X0Y4
NOC_NPS7575_X3Y2 port2_out  Channel 1219 port0_in NOC_NPP_RPTR_X0Y4
NOC_NPS7575_X3Y3 port2_in  Channel 1226 port1_out NOC_NPP_RPTR_X0Y5
NOC_NPS7575_X3Y3 port2_out  Channel 1221 port0_in NOC_NPP_RPTR_X0Y5
NOC_NPP_RPTR_X0Y4 port1_in  Channel 1228 port0_out NOC_NPS7575_X4Y2
NOC_NPP_RPTR_X0Y4 port0_out  Channel 1225 port0_in NOC_NPS7575_X4Y2
NOC_NMU_HBM2E_X2Y0 resp_in  Channel 197 port1_out NOC_NPS6_X0Y1
NOC_NMU_HBM2E_X2Y0 req_out  Channel 442 port1_in NOC_NPS6_X0Y1
NOC_NMU_HBM2E_X3Y0 resp_in  Channel 198 port2_out NOC_NPS6_X0Y1
NOC_NMU_HBM2E_X3Y0 req_out  Channel 443 port2_in NOC_NPS6_X0Y1
NOC_NMU_HBM2E_X1Y0 resp_in  Channel 193 port2_out NOC_NPS6_X0Y0
NOC_NMU_HBM2E_X1Y0 req_out  Channel 441 port2_in NOC_NPS6_X0Y0
NOC_NMU_HBM2E_X0Y0 resp_in  Channel 192 port1_out NOC_NPS6_X0Y0
NOC_NMU_HBM2E_X0Y0 req_out  Channel 440 port1_in NOC_NPS6_X0Y0
NOC_NMU_HBM2E_X4Y0 resp_in  Channel 202 port1_out NOC_NPS6_X0Y2
NOC_NMU_HBM2E_X4Y0 req_out  Channel 444 port1_in NOC_NPS6_X0Y2
NOC_NMU_HBM2E_X5Y0 resp_in  Channel 203 port2_out NOC_NPS6_X0Y2
NOC_NMU_HBM2E_X5Y0 req_out  Channel 445 port2_in NOC_NPS6_X0Y2
NOC_NMU_HBM2E_X6Y0 resp_in  Channel 207 port1_out NOC_NPS6_X0Y3
NOC_NMU_HBM2E_X6Y0 req_out  Channel 446 port1_in NOC_NPS6_X0Y3
NOC_NMU_HBM2E_X7Y0 resp_in  Channel 208 port2_out NOC_NPS6_X0Y3
NOC_NMU_HBM2E_X7Y0 req_out  Channel 447 port2_in NOC_NPS6_X0Y3
NOC_NPS6_X0Y1 port4_in  Channel 17 portSideA1_out NOC_NPS4_X0Y1
NOC_NPS6_X0Y1 port4_out  Channel 200 portSideA1_in NOC_NPS4_X0Y1
NOC_NPS6_X0Y1 port5_in  Channel 9 portSideA1_out NOC_NPS4_X0Y0
NOC_NPS6_X0Y1 port5_out  Channel 201 portSideA1_in NOC_NPS4_X0Y0
NOC_NPS6_X0Y1 port3_out  Channel 199 port1_in NOC_NPS5555_X5Y4
NOC_NPS5555_X5Y4 port1_out  Channel 217 port3_in NOC_NPS6_X0Y1
NOC_NPS6_X0Y0 port4_in  Channel 16 portSideA0_out NOC_NPS4_X0Y1
NOC_NPS6_X0Y0 port4_out  Channel 195 portSideA0_in NOC_NPS4_X0Y1
NOC_NPS6_X0Y0 port5_in  Channel 8 portSideA0_out NOC_NPS4_X0Y0
NOC_NPS6_X0Y0 port5_out  Channel 196 portSideA0_in NOC_NPS4_X0Y0
NOC_NPS6_X0Y0 port3_in  Channel 212  port0_out NOC_NPS5555_X5Y3
NOC_NPS6_X0Y0 port3_out Channel 194  port0_in NOC_NPS5555_X5Y3
NOC_NPS6_X0Y2 port4_in  Channel 18 portSideA2_out NOC_NPS4_X0Y1
NOC_NPS6_X0Y2 port4_out  Channel 205 portSideA2_in NOC_NPS4_X0Y1
NOC_NPS6_X0Y2 port5_in  Channel 10 portSideA2_out NOC_NPS4_X0Y0
NOC_NPS6_X0Y2 port5_out  Channel 206 portSideA2_in NOC_NPS4_X0Y0
NOC_NPS6_X0Y2 port3_out  Channel 204 port1_in NOC_NPS5555_X5Y6
NOC_NPS5555_X5Y6 port1_out  Channel 225 port3_in NOC_NPS6_X0Y2
