Source,Target,SourcePort,TargetPort,Channel
NOC_NSU128_X0Y13,NOC_NPS7575_X0Y7,resp,port0_in,760
NOC_NSU128_X0Y13,NOC_NPS7575_X0Y7,req,port0_out,764
NOC_NPS7575_X0Y7,NOC_NPS7575_X1Y7,port2_in,port0_out,768
NOC_NPS7575_X0Y7,NOC_NPS7575_X1Y7,port2_out,port0_in,765
NOC_NMU128_X0Y22,NOC_NPS7575_X0Y6,req_out,port0_in,761
NOC_NPS7575_X0Y6,NOC_NMU128_X0Y22,port0_out,resp_in,762
NOC_NPS7575_X0Y6,NOC_NPS7575_X1Y6,port2_in,port0_out,766
NOC_NPS7575_X0Y6,NOC_NPS7575_X1Y6,port2_out,port0_in,763
NOC_NPS7575_X1Y6,NOC_NPS7575_X2Y6,port2_in,port0_out,770
NOC_NPS7575_X1Y6,NOC_NPS7575_X2Y6,port2_out,port0_in,767
NOC_NPS7575_X1Y7,NOC_NPS7575_X2Y7,port2_in,port0_out,772
NOC_NPS7575_X1Y7,NOC_NPS7575_X2Y7,port2_out,port0_in,769
NOC_NPS7575_X2Y7,NOC_NPS7575_X3Y7,port2_in,port0_out,776
NOC_NPS7575_X2Y7,NOC_NPS7575_X3Y7,port2_out,port0_in,773
NOC_NPS7575_X2Y6,NOC_NPS7575_X3Y6,port2_in,port0_out,774
NOC_NPS7575_X2Y6,NOC_NPS7575_X3Y6,port2_out,port0_in,771
NOC_NPS7575_X3Y7,NOC_NPP_RPTR_X0Y13,port2_in,port1_out,782
NOC_NPS7575_X3Y7,NOC_NPP_RPTR_X0Y13,port2_out,port0_in,777
NOC_NPS7575_X3Y6,NOC_NPP_RPTR_X0Y12,port2_in,port1_out,780
NOC_NPS7575_X3Y6,NOC_NPP_RPTR_X0Y12,port2_out,port0_in,775
NOC_NPP_RPTR_X0Y13,NOC_NPS7575_X4Y7,port1_in,port0_out,788
NOC_NPP_RPTR_X0Y13,NOC_NPS7575_X4Y7,port0_out,port0_in,783
NOC_NPP_RPTR_X0Y12,NOC_NPS7575_X4Y6,port1_in,port0_out,784
NOC_NPP_RPTR_X0Y12,NOC_NPS7575_X4Y6,port0_out,port0_in,781
NOC_NSU128_X0Y1,NOC_NPS5555_X0Y0,resp,port0_in,1691
NOC_NPS5555_X0Y0,NOC_NSU128_X0Y1,port0_out,req,1704
NOC_NSU128_X0Y0,NOC_NPS5555_X0Y0,resp,port1_in,1688
NOC_NSU128_X0Y0,NOC_NPS5555_X0Y0,req,port1_out,1705
NOC_NMU128_X0Y1,NOC_NPS5555_X1Y1,req_out,port1_in,1690
NOC_NMU128_X0Y1,NOC_NPS5555_X1Y1,resp_in,port1_out,1717
NOC_NMU128_X0Y0,NOC_NPS5555_X1Y0,req_out,port3_in,1689
NOC_NMU128_X0Y0,NOC_NPS5555_X1Y0,resp_in,port3_out,1715
NOC_NMU128_X0Y3,NOC_NPS5555_X1Y0,req_out,port1_in,1693
NOC_NMU128_X0Y3,NOC_NPS5555_X1Y0,resp_in,port1_out,1713
NOC_NMU128_X0Y2,NOC_NPS5555_X1Y1,req_out,port0_in,1692
NOC_NMU128_X0Y2,NOC_NPS5555_X1Y1,resp_in,port0_out,1716
NOC_NMU128_X0Y9,NOC_NPS5555_X2Y1,req_out,port1_in,1703
NOC_NMU128_X0Y9,NOC_NPS5555_X2Y1,resp_in,port1_out,1725
NOC_NMU128_X0Y8,NOC_NPS5555_X2Y0,req_out,port1_in,1702
NOC_NMU128_X0Y8,NOC_NPS5555_X2Y0,resp_in,port1_out,1721
NOC_NMU128_X0Y7,NOC_NPS5555_X3Y1,req_out,port3_in,1701
NOC_NMU128_X0Y7,NOC_NPS5555_X3Y1,resp_in,port3_out,1735
NOC_NMU128_X0Y6,NOC_NPS5555_X3Y0,req_out,port3_in,1700
NOC_NMU128_X0Y6,NOC_NPS5555_X3Y0,resp_in,port3_out,1731
NOC_NMU128_X0Y4,NOC_NPS5555_X4Y1,req_out,port1_in,1694
NOC_NMU128_X0Y4,NOC_NPS5555_X4Y1,resp_in,port1_out,1741
NOC_NSU128_X0Y4,NOC_NPS5555_X4Y0,resp,port1_in,1698
NOC_NSU128_X0Y4,NOC_NPS5555_X4Y0,req,port1_out,1737
NOC_NMU128_X0Y5,NOC_NPS5555_X4Y0,req_out,port3_in,1695
NOC_NMU128_X0Y5,NOC_NPS5555_X4Y0,resp_in,port3_out,1739
