tick,cycle,router_id,nocname,nps_type,queue_kind,inport,vc,depth
21000,21,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
22000,22,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
23000,23,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
23000,23,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
23000,23,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
24000,24,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
24000,24,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
24000,24,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
25000,25,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
25000,25,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
25000,25,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
25000,25,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
26000,26,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
26000,26,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
26000,26,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
26000,26,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
27000,27,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
27000,27,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
27000,27,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
27000,27,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
28000,28,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
28000,28,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
28000,28,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
28000,28,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
29000,29,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
29000,29,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
29000,29,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
29000,29,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
30000,30,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
30000,30,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
30000,30,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
30000,30,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
31000,31,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
31000,31,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
31000,31,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
31000,31,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
32000,32,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
32000,32,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
32000,32,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
32000,32,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
33000,33,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
33000,33,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
33000,33,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
33000,33,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
34000,34,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
34000,34,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
34000,34,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
34000,34,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
35000,35,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
35000,35,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
35000,35,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
35000,35,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
36000,36,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
36000,36,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
36000,36,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
36000,36,1,NOC_NPS_VNOC_X3Y0,VNOC,data_vc,1,5,1
37000,37,0,NOC_NPS_VNOC_X3Y1,VNOC,credit,0,-1,1
37000,37,0,NOC_NPS_VNOC_X3Y1,VNOC,data_vc,0,5,1
37000,37,1,NOC_NPS_VNOC_X3Y0,VNOC,credit,1,-1,1
